dataset	run	species	genotype_stratum	instrument	data_type	expected_files	expected_reads	source_checksum	source_checksum_authority	local_fa_md5	role	basis	note
est/Slycopersicum	est.fa.gz	Slycopersicum	unknown	GenBank_EST	EST	1	301030		none	7fa0193a8b23950df04b9a1459b271b0	b1_validation_only	A14: EST of the training species is training evidence; test-species EST is validation only	not stated; GenBank efetch publishes no per-batch checksum
est/Zmays	est.fa.gz	Zmays	unknown	GenBank_EST	EST	1	2019959		none	39666be2971826122a671873fadff581	b1_validation_only	A14: EST of the training species is training evidence; test-species EST is validation only	not stated; GenBank efetch publishes no per-batch checksum
est/Athaliana	est.fa.gz	Athaliana	reference	GenBank_EST	EST	1	1529700		none	3d87af2e533b1f97f066a889204f4289	c2_training_eligible	A14: EST of the training species is training evidence; test-species EST is validation only	GenBank gbdiv_est, predominantly Col-0; not resolvable per accession; GenBank efetch publishes no per-batch checksum
est/Bdistachyon	est.fa.gz	Bdistachyon	unknown	GenBank_EST	EST	1	206255		none	2cababa206f8e719876b6baaccb32141	c2_training_eligible	A14: EST of the training species is training evidence; test-species EST is validation only	not stated; GenBank efetch publishes no per-batch checksum
est/Gmax	est.fa.gz	Gmax	unknown	GenBank_EST	EST	1	1461724		none	6076177af598f4a2a9d808a5d704dc4b	c2_training_eligible	A14: EST of the training species is training evidence; test-species EST is validation only	not stated; GenBank efetch publishes no per-batch checksum
est/Osativa	est.fa.gz	Osativa	unknown	GenBank_EST	EST	1	1255251		none	44df407bdda732fdf2fadbc509b5f92c	c2_training_eligible	A14: EST of the training species is training evidence; test-species EST is validation only	not stated; GenBank efetch publishes no per-batch checksum
est/Ppatens	est.fa.gz	Ppatens	unknown	GenBank_EST	EST	1	382587		none	90bb6791d7d2c4a2208d12d8e08d2a01	c2_training_eligible	A14: EST of the training species is training evidence; test-species EST is validation only	not stated; GenBank efetch publishes no per-batch checksum
est/Ptrichocarpa	est.fa.gz	Ptrichocarpa	unknown	GenBank_EST	EST	1	89943		none	0e09ea7d065a93a8703e51523c99b8f2	c2_training_eligible	A14: EST of the training species is training evidence; test-species EST is validation only	not stated; GenBank efetch publishes no per-batch checksum
est/Sbicolor	est.fa.gz	Sbicolor	unknown	GenBank_EST	EST	1	209835		none	9f19ce9f511477b5b4488c4f8892638d	c2_training_eligible	A14: EST of the training species is training evidence; test-species EST is validation only	not stated; GenBank efetch publishes no per-batch checksum
est/Sitalica	est.fa.gz	Sitalica	unknown	GenBank_EST	EST	1	66027		none	4b0f262bc3a0a72f9e290035ac3c67ff	c2_training_eligible	A14: EST of the training species is training evidence; test-species EST is validation only	not stated; GenBank efetch publishes no per-batch checksum
est/Vvinifera	est.fa.gz	Vvinifera	unknown	GenBank_EST	EST	1	446853		none	f4fd8bfd7a4dda1057369880ba36f7fc	c2_training_eligible	A14: EST of the training species is training evidence; test-species EST is validation only	not stated; GenBank efetch publishes no per-batch checksum
