dataset	run	species	genotype_stratum	instrument	data_type	expected_files	expected_reads	source_checksum	source_checksum_authority	local_fa_md5	role	basis	note
ont/Athaliana_FLIC_PRJNA1087576	SRR28341943	Athaliana	reference	PromethION	RNA-Seq	1	6952504	f7a2b67708e0f0ef454fe6ddc2156301	ENA_fastq_md5	d802a86ae1673909ee21a0cd663c99ac	b1_validation_only	A14: validation-only long reads	Col-0
ont/Athaliana_FLIC_PRJNA1087576	SRR28341944	Athaliana	reference	PromethION	RNA-Seq	1	10389060	be06ca9413edae1f79f52f4db8876c88	ENA_fastq_md5	7a9bca96833a99e0cebba8a1995f575e	b1_validation_only	A14: validation-only long reads	Col-0
ont/Athaliana_FLIC_PRJNA1087576	SRR28341945	Athaliana	reference	PromethION	RNA-Seq	1	9459558	641326eb33787079708d96728a8cd30c	ENA_fastq_md5	414412803d96e3e58c9fc22172e0bbd4	b1_validation_only	A14: validation-only long reads	Col-0
pacbio/Athaliana_zhang2023_PRJNA911826	SRR22719002	Athaliana	reference	Sequel II	RNA-Seq	1	346107	f5517d53af5b4cb2be424986273f8efa	ENA_fastq_md5	acb4a84edb36f924fd04990d6cc4a6dd	b1_validation_only	A14: test-species validation accepts any PacBio generation	Col-0 WT runs only, mutants excluded at fetch
pacbio/Athaliana_zhang2023_PRJNA911826	SRR22719003	Athaliana	reference	Sequel II	RNA-Seq	1	558941	2451e2a32ce52dddb24d3c42889c1bcd	ENA_fastq_md5	60be29e3223eef5c3e1f2c8f1ac4d75a	b1_validation_only	A14: test-species validation accepts any PacBio generation	Col-0 WT runs only, mutants excluded at fetch
pacbio/Athaliana_zhang2023_PRJNA911826	SRR22719004	Athaliana	reference	Sequel II	RNA-Seq	1	320156	df546f2ec4c09126cfb50bc57faa4a0f	ENA_fastq_md5	8a62439a411ee2b9df381af01c513719	b1_validation_only	A14: test-species validation accepts any PacBio generation	Col-0 WT runs only, mutants excluded at fetch
pacbio/Athaliana_zhang2023_PRJNA911826	SRR22719005	Athaliana	reference	Sequel II	RNA-Seq	1	419128	2e26036497f05078e57b1020230c9b6a	ENA_fastq_md5	e28ee76c22835bfaa8d887ab510aa24b	b1_validation_only	A14: test-species validation accepts any PacBio generation	Col-0 WT runs only, mutants excluded at fetch
pacbio/Athaliana_zhang2023_PRJNA911826	SRR22719006	Athaliana	reference	Sequel II	RNA-Seq	1	421485	80abbf6f395a62079604a10459bac910	ENA_fastq_md5	7899571b8bc321e9a26679a660eeacaa	b1_validation_only	A14: test-species validation accepts any PacBio generation	Col-0 WT runs only, mutants excluded at fetch
pacbio/Athaliana_zhang2023_PRJNA911826	SRR22719007	Athaliana	reference	Sequel II	RNA-Seq	1	538791	b42ccb5b5af0b5c2be2dddea46be9885	ENA_fastq_md5	ba50afe88780228b2cff7a06bc2556b4	b1_validation_only	A14: test-species validation accepts any PacBio generation	Col-0 WT runs only, mutants excluded at fetch
ont/Slycopersicum_heinz_PRJEB37834	ERR4039883	Slycopersicum	reference	MinION	RNA-Seq	1	1853044	dadac8f0a5db2653b79e0db2d14a87f6	ENA_fastq_md5	97e89bc09d0c13118210fd8579a51d9c	b1_validation_only	A14: validation-only long reads	Heinz
