species,n_genes,n_transcripts,multi_transcript_genes,pct_multi_transcript,mean_transcripts_per_gene,max_transcripts_per_gene
A_thaliana,27206,35176,5804,21.33,1.293,10
AtRTD3,40571,168951,20350,50.16,4.164,134
B_distachyon,34310,52972,8010,23.35,1.544,25
B_rapa,38746,57411,9573,24.71,1.482,20
G_max,48387,80374,14292,29.54,1.661,21
L_sativa,38910,62656,18029,46.34,1.61,13
O_sativa,42189,52398,6371,15.1,1.242,13
P_patens,32926,87513,23151,70.31,2.658,26
P_trichocarpa,34699,52400,9252,26.66,1.51,21
S_bicolor,32160,44210,6552,20.37,1.375,21
S_italica,34584,43001,5067,14.65,1.243,25
S_lycopersicum,36648,43752,3808,10.39,1.194,18
V_vinifera,47971,48974,6823,14.22,1.021,3
Z_mays,39324,131318,14851,37.77,3.339,366
