species,genes_nuclear,genes_tokenized,token_median,token_p90,token_p95,token_p99,token_p999,token_max,genes_over_2048,pct_over_2048,vocab_over_150_cds,vocab_over_50_utr5,vocab_over_50_utr3,vocab_over_any,pct_vocab_over_any,over_token_only,over_vocab_only,over_both,binding_constraint,genes_skipped_region_over_maxlen,genes_skipped_lncRNA,genes_skipped_no_cds_or_utr,genes_where_v2_length_differs
A_thaliana,27206,27206,81,211,262,384,652,1195,0,0.0,0,0,0,0,0.0,0,0,0,tie,0,0,0,0
B_distachyon,34310,34310,68,219,289,472,846,1731,0,0.0,0,0,0,0,0.0,0,0,0,tie,0,0,0,43
B_rapa,38746,38743,81,224,301,552,1137,2140,2,0.005,0,0,0,0,0.0,2,0,0,token_cap,3,0,0,21
G_max,48387,48321,93,259,343,572,921,1926,0,0.0,0,0,0,0,0.0,0,0,0,tie,66,0,0,85
L_sativa,38910,38899,81,216,271,409,692,1418,0,0.0,0,0,0,0,0.0,0,0,0,tie,11,0,0,0
O_sativa,42189,42188,55,183,238,362,538,1268,0,0.0,0,0,0,0,0.0,0,0,0,tie,1,0,0,0
P_patens,32926,32926,101,314,401,626,997,1831,0,0.0,0,0,0,0,0.0,0,0,0,tie,0,0,0,161
P_trichocarpa,34699,34698,83,236,313,513,836,1826,0,0.0,0,0,0,0,0.0,0,0,0,tie,1,0,0,28
S_bicolor,32160,32142,68,211,276,451,780,2036,0,0.0,0,0,0,0,0.0,0,0,0,tie,18,0,0,16
S_italica,34584,34584,68,191,244,375,646,1617,0,0.0,0,0,0,0,0.0,0,0,0,tie,0,0,0,4
S_lycopersicum,36648,36563,66,191,261,466,818,1601,0,0.0,1,0,1,2,0.005,0,0,0,tie,85,0,0,3
V_vinifera,47971,39810,55,171,219,343,553,1121,0,0.0,0,0,0,0,0.0,0,0,0,tie,325,7836,0,0
Z_mays,39324,39257,81,499,814,2026,4716,14609,383,0.976,0,280,222,360,0.915,92,54,291,token_cap,67,0,0,1428
AtRTD3,40571,37082,98,642,900,1485,2404,4744,99,0.267,0,3,182,183,0.451,3,87,96,vocabulary,1,0,3488,2087
