species,n_genes,has_utr,cds_max,cds_p99,utr5_max,utr5_p99,utr3_max,utr3_p99,tx_max,tx_p99,over_150_cds,over_50_utr5,over_50_utr3,over_any,pct_within_limits
A_thaliana,27206,True,78,24,14,5,15,4,10,4,0,0,0,0,100.0
AtRTD3,40571,True,81,33,133,17,135,43,134,30,0,3,182,183,99.549
B_distachyon,34310,True,84,23,24,8,22,8,25,8,0,0,0,0,100.0
B_rapa,38746,True,82,26,37,9,23,7,20,7,0,0,0,0,100.0
G_max,48387,True,84,25,34,10,23,8,21,8,0,0,0,0,100.0
L_sativa,38910,True,94,26,16,3,12,3,13,4,0,0,0,0,100.0
O_sativa,42189,True,81,21,24,6,36,6,13,4,0,0,0,0,100.0
P_patens,32926,True,81,26,24,11,25,8,26,12,0,0,0,0,100.0
P_trichocarpa,34699,True,85,25,24,8,23,7,21,7,0,0,0,0,100.0
S_bicolor,32160,True,89,23,22,7,21,7,21,6,0,0,0,0,100.0
S_italica,34584,True,83,23,18,5,19,5,25,4,0,0,0,0,100.0
S_lycopersicum,36648,True,201,26,30,6,52,6,18,5,1,0,1,2,99.995
V_vinifera,47971,True,101,22,25,3,20,3,3,2,0,0,0,0,100.0
Z_mays,39324,True,146,41,232,43,322,40,366,31,0,280,222,360,99.085
