species	orig_baseSn	orig_basePr	rerun_baseSn	rerun_basePr	noRunaway_baseSn	noRunaway_basePr	orig_exonPr	rerun_exonPr	R_orig	R_rerun	R_noRunaway	n_runaway_tx_rerun	runaway_pct_pred_exonic	orig_ref_mRNA	rerun_ref_mRNA	ref_delta_pct	orig_query_mRNA	rerun_query_mRNA	verdict	canonical_basePr
A_thaliana	90.6	93.8	90.6	93.5	90.6	93.5	83.8	83.3	0.966	0.969	0.969	0	0.0	7461	7129	-4.4	5073	5078	concordant	93.5
B_distachyon	76.7	84.7	77.2	87.0	77.2	87.0	68.9	69.6	0.906	0.887	0.887	0	0.0	11775	11284	-4.2	6263	6367	concordant	87.0
G_max	80.1	66.0	80.5	87.9	80.5	90.2	72.3	71.5	1.214	0.916	0.892	2	2.07	18892	17590	-6.9	10098	10414	original_artifact	90.2
O_sativa	81.5	86.7	81.6	87.3	81.6	87.3	71.4	72.1	0.94	0.935	0.935	0	0.0	10257	9885	-3.6	7340	7301	concordant	87.3
P_patens	76.2	88.3	77.2	87.7	77.2	87.7	61.3	60.6	0.863	0.88	0.88	1	39.7	21327	20508	-3.8	14406	15049	concordant	87.7
P_trichocarpa	81.9	72.4	82.9	76.1	82.8	89.3	73.9	72.2	1.131	1.089	0.927	1	13.24	11708	11148	-4.8	6866	6957	both_contaminated	89.3
S_bicolor	79.6	90.6	80.2	75.2	80.1	90.4	72.6	71.9	0.879	1.066	0.886	3	35.22	9230	8580	-7.0	5751	5791	rerun_artifact	90.4
S_italica	82.0	85.7	81.7	87.5	81.7	87.5	71.6	71.4	0.957	0.934	0.934	0	0.0	8347	7910	-5.2	6038	5863	concordant	87.5
V_vinifera	64.8	78.1	60.4	80.1	60.4	80.1	49.8	56.5	0.83	0.754	0.754	0	0.0	8706	8483	-2.6	7085	6836	concordant	80.1
Z_mays	63.8	80.5	69.3	79.3	69.3	79.3	61.4	60.3	0.793	0.874	0.874	0	0.0	25123	100245	299.0	7902	49894	concordant	79.3
