round	arm	arm_started	file_mtime	verdict	signature	note
1	helixer	08-09 21:04:56	08-09 22:18:46	FRESH	876d32079f7aa968	written after this arm's run began
1	annevo	08-09 22:19:23	08-09 23:40:26	FRESH	13a0f7e0a7fea1a2	written after this arm's run began
1	tair10self	08-09 23:40:56	08-10 01:13:18	FRESH	de4d269f46425ad0	written after this arm's run began
1	tair10selfutr	08-10 01:13:43	08-10 02:45:49	FRESH	ab1645ef8cd51623	written after this arm's run began
1	tair10helixerframe	08-10 02:46:15	08-10 04:23:28	FRESH	b10140c366f03d4c	written after this arm's run began
1	tair10helixerframeutr	08-10 04:23:53	08-10 06:24:26	FRESH	874429c9481ea884	written after this arm's run began
1	helixer_reframed	08-10 06:24:57	08-10 07:51:10	FRESH	c3f25e09ba0e9240	written after this arm's run began
1	helixertairutr	08-10 07:51:37	08-10 09:14:28	FRESH	f2a7489208b5f087	written after this arm's run began
1	annevotairutr	08-10 09:14:53	08-10 10:27:34	FRESH	d29bcaa6faa04435	written after this arm's run began
2	helixer	08-10 10:27:57	08-10 11:43:36	FRESH	876d32079f7aa968	written after this arm's run began
2	annevo	08-10 11:44:08	08-10 13:05:33	FRESH	13a0f7e0a7fea1a2	written after this arm's run began
1	helixer	08-10 15:06:21	08-10 16:20:08	FRESH	876d32079f7aa968	written after this arm's run began
1	annevo	08-10 16:20:43	08-10 17:41:46	FRESH	13a0f7e0a7fea1a2	written after this arm's run began
1	tair10self	08-10 17:42:15	08-10 19:15:16	FRESH	de4d269f46425ad0	written after this arm's run began
1	tair10selfutr	08-10 19:15:42	08-10 20:47:49	FRESH	ab1645ef8cd51623	written after this arm's run began
1	tair10helixerframe	08-10 20:48:15	08-10 22:24:27	FRESH	b10140c366f03d4c	written after this arm's run began
1	tair10helixerframeutr	08-10 22:24:53	08-11 00:25:32	FRESH	874429c9481ea884	written after this arm's run began
1	helixer_reframed	08-11 00:26:16	08-11 01:52:56	FRESH	c3f25e09ba0e9240	written after this arm's run began
1	helixertairutr	08-11 01:53:28	08-11 03:18:25	FRESH	f2a7489208b5f087	written after this arm's run began
1	annevotairutr	08-11 03:18:54	08-11 04:32:20	FRESH	d29bcaa6faa04435	written after this arm's run began
