round	arm	structure_signature	loci	structures	precision
1	helixer	876d32079f7aa968	27031	28750	0.0
1	annevo	13a0f7e0a7fea1a2	25172	25345	0.0
1	tair10self	de4d269f46425ad0	24201	24396	4.6
1	tair10selfutr	ab1645ef8cd51623	24202	25206	18.2
1	tair10helixerframe	b10140c366f03d4c	24202	24445	3.2
1	tair10helixerframeutr	874429c9481ea884	24198	36626	2.2
1	helixer_reframed	c3f25e09ba0e9240	27029	27297	0.0
1	helixertairutr	f2a7489208b5f087	23952	24173	0.9
1	annevotairutr	d29bcaa6faa04435	20834	21035	1.2
2	helixer	876d32079f7aa968	27031	28750	0.0
2	annevo	13a0f7e0a7fea1a2	25172	25345	0.0
1	helixer	876d32079f7aa968	27031	28750	0.0
1	annevo	13a0f7e0a7fea1a2	25172	25345	0.0
1	tair10self	de4d269f46425ad0	24201	24396	4.6
1	tair10selfutr	ab1645ef8cd51623	24202	25206	18.2
1	tair10helixerframe	b10140c366f03d4c	24202	24445	3.2
1	tair10helixerframeutr	874429c9481ea884	24198	36626	2.2
1	helixer_reframed	c3f25e09ba0e9240	27029	27297	0.0
1	helixertairutr	f2a7489208b5f087	23952	24173	0.9
1	annevotairutr	d29bcaa6faa04435	20834	21035	1.2
