species_variant,n_genes,n_transcripts,no_cds,checked,frame_fail,no_start_atg,no_terminal_stop,internal_stop,fully_consistent,pct_fully_consistent,duplicate_transcripts,genes_with_duplicates,mean_isoforms_per_gene
A_thaliana_REF,27206,35176,0,35176,32,6,8,43,35128,99.86,1,1,1.293
A_thaliana_transgenic160M,27193,27524,0,27524,15955,10574,19800,21338,2027,7.36,164,49,1.012
A_thaliana_transgenic160M_prompt_denovo,73205,91592,0,91592,54509,35958,66889,69660,5922,6.47,3965,628,1.251
A_thaliana_transgenic160Mprompt,27202,30068,0,30068,485,221,224,550,29337,97.57,870,41,1.105
A_thaliana_transgenic400M,27193,27422,0,27422,13478,2696,8081,15838,6814,24.85,62,16,1.008
A_thaliana_transgenic400M_prompt_denovo,81570,93063,0,93063,46575,10257,28404,52953,22068,23.71,2145,1602,1.141
A_thaliana_transgenic400Mprompt,54408,59426,0,59426,1616,210,540,1566,57484,96.73,622,64,1.092
A_thaliana_transgenic400Mprompt_beam1,27204,29713,0,29713,808,105,270,783,28742,96.73,311,32,1.092
B_distachyon_REF,34310,52972,0,52972,1,1039,465,0,51518,97.26,5,5,1.544
B_distachyon_transgenic160M,34272,35965,0,35965,20704,16121,26557,28516,2836,7.89,922,253,1.049
B_distachyon_transgenic160M_prompt_denovo,34254,47460,0,47460,28042,20701,35515,36778,3374,7.11,5460,492,1.386
B_distachyon_transgenic160Mprompt,34341,39315,0,39315,769,1151,1044,809,36920,93.91,2620,108,1.145
B_distachyon_transgenic400M,34244,34922,0,34922,17466,4640,12187,22149,7581,21.71,248,110,1.02
B_distachyon_transgenic400M_prompt_denovo,34228,40731,0,40731,20787,5990,14434,24946,8604,21.12,1529,683,1.19
B_distachyon_transgenic400Mprompt,34323,37866,0,37866,502,1018,599,554,35898,94.8,1021,63,1.103
B_rapa_REF,38746,57411,0,57411,0,15,16,0,57388,99.96,18665,9573,1.482
B_rapa_transgenic160M,38720,39630,0,39630,23910,14921,28502,30923,2650,6.69,463,95,1.024
B_rapa_transgenic160M_prompt_denovo,38715,50877,0,50877,31036,20150,37189,38625,2976,5.85,3490,371,1.314
B_rapa_transgenic160Mprompt,38727,45174,0,45174,1767,1030,725,1757,42664,94.44,3035,114,1.166
B_rapa_transgenic400M,38714,39254,0,39254,20699,3689,11374,23003,8755,22.3,100,40,1.014
B_rapa_transgenic400M_prompt_denovo,38703,45241,0,45241,24410,4936,13564,26042,9624,21.27,1515,1074,1.169
B_rapa_transgenic400Mprompt,38730,42707,0,42707,1009,258,221,1016,41446,97.05,458,64,1.103
G_max_REF,48387,80374,0,80374,0,5,4,0,80367,99.99,57,51,1.661
G_max_transgenic160M,48178,53207,0,53207,33352,24122,41580,45001,1880,3.53,2372,687,1.104
G_max_transgenic160M_prompt_denovo,48102,75853,0,75853,48703,37098,59927,63752,2216,2.92,12423,1151,1.577
G_max_transgenic160Mprompt,48340,61974,0,61974,2272,1357,914,2609,58721,94.75,7957,236,1.282
G_max_transgenic400M,48112,51116,0,51116,29313,6172,17454,33869,7671,15.01,770,243,1.062
G_max_transgenic400M_prompt_denovo,48098,66024,0,66024,38719,9776,24315,43409,8989,13.61,6960,2359,1.373
G_max_transgenic400Mprompt,48283,56965,0,56965,1318,506,365,1667,54910,96.39,2550,160,1.18
L_sativa_REF,38910,62656,0,62656,0,1547,1626,0,59939,95.66,698,691,1.61
L_sativa_transgenic160M,38861,41103,0,41103,22631,22704,33277,34835,1579,3.84,1232,262,1.058
L_sativa_transgenic160M_prompt_denovo,38848,49243,0,49243,27442,27936,39833,40524,1692,3.44,3019,437,1.268
