species_variant,genes_linked,genes_unlinked,transcripts_compared,TSS_exact_pct,TSS_within50_pct,TSS_within100_pct,TSS_median_delta,TES_exact_pct,TES_within50_pct,TES_within100_pct,TES_median_delta
A_thaliana_transgenic160M,27193,0,27524,6.57,65.67,81.8,29,5.25,64.95,81.27,30
A_thaliana_transgenic160M_prompt_denovo,0,73205,0,0.0,0.0,0.0,,0.0,0.0,0.0,
A_thaliana_transgenic160Mprompt,27202,0,30068,95.23,98.66,98.89,0,94.88,97.46,98.3,0
A_thaliana_transgenic400M,27193,0,27422,13.7,66.21,81.11,27,12.74,65.77,80.73,28
A_thaliana_transgenic400M_prompt_denovo,0,81570,0,0.0,0.0,0.0,,0.0,0.0,0.0,
A_thaliana_transgenic400Mprompt,54408,0,59426,96.53,99.45,99.69,0,96.74,99.35,99.59,0
B_distachyon_transgenic160M,34272,0,35965,4.25,43.51,59.35,67,3.54,43.05,58.85,68
B_distachyon_transgenic160M_prompt_denovo,0,34254,0,0.0,0.0,0.0,,0.0,0.0,0.0,
B_distachyon_transgenic160Mprompt,34293,48,39267,93.61,97.33,97.69,0,92.72,95.46,95.7,0
B_distachyon_transgenic400M,34244,0,34922,9.02,47.02,62.08,58,8.39,46.62,61.73,59
B_distachyon_transgenic400M_prompt_denovo,0,34228,0,0.0,0.0,0.0,,0.0,0.0,0.0,
B_distachyon_transgenic400Mprompt,34298,25,37841,95.63,98.56,98.82,0,96.39,98.59,99.05,0
B_rapa_transgenic160M,38717,3,39627,4.46,58.56,76.67,38,3.73,58.01,76.11,38
B_rapa_transgenic160M_prompt_denovo,0,38715,0,0.0,0.0,0.0,,0.0,0.0,0.0,
B_rapa_transgenic160Mprompt,38727,0,45174,91.78,96.35,97.12,0,91.85,96.2,97.26,0
B_rapa_transgenic400M,38714,0,39254,8.33,60.46,77.46,35,7.76,59.87,76.74,36
B_rapa_transgenic400M_prompt_denovo,0,38703,0,0.0,0.0,0.0,,0.0,0.0,0.0,
B_rapa_transgenic400Mprompt,38730,0,42707,95.22,98.85,99.23,0,93.83,98.18,99.11,0
G_max_transgenic160M,48148,30,53177,1.57,46.08,64.99,58,1.22,45.24,64.17,60
G_max_transgenic160M_prompt_denovo,0,48102,0,0.0,0.0,0.0,,0.0,0.0,0.0,
G_max_transgenic160Mprompt,48273,67,61907,86.66,93.62,94.71,0,85.37,92.3,93.56,0
G_max_transgenic400M,48112,0,51116,2.91,49.21,68.3,52,2.67,47.74,66.83,55
G_max_transgenic400M_prompt_denovo,0,48098,0,0.0,0.0,0.0,,0.0,0.0,0.0,
G_max_transgenic400Mprompt,48269,14,56951,90.24,96.11,97.22,0,89.14,95.49,96.67,0
L_sativa_transgenic160M,38857,4,41099,5.01,42.63,58.67,69,3.5,42.24,57.39,71
L_sativa_transgenic160M_prompt_denovo,0,38848,0,0.0,0.0,0.0,,0.0,0.0,0.0,
L_sativa_transgenic160Mprompt,38878,67,47674,83.37,89.82,92.26,0,82.49,88.58,89.91,0
L_sativa_transgenic400M,1792,0,1816,10.9,45.48,60.46,62,9.69,44.49,60.57,64
L_sativa_transgenic400M_prompt_denovo,0,1790,0,0.0,0.0,0.0,,0.0,0.0,0.0,
L_sativa_transgenic400Mprompt,38883,1,45627,85.13,90.53,92.37,0,84.59,90.49,92.2,0
O_sativa_transgenic160M,42137,0,43032,9.27,55.29,69.72,39,7.39,54.85,69.49,40
O_sativa_transgenic160M_prompt_denovo,0,42126,0,0.0,0.0,0.0,,0.0,0.0,0.0,
O_sativa_transgenic160Mprompt,42174,0,46115,96.03,98.0,98.55,0,94.81,96.34,96.98,0
O_sativa_transgenic400M,42158,0,42783,22.11,59.53,72.63,31,20.7,59.29,72.4,32
O_sativa_transgenic400M_prompt_denovo,0,42145,0,0.0,0.0,0.0,,0.0,0.0,0.0,
O_sativa_transgenic400Mprompt,42176,0,44831,97.98,99.49,99.55,0,97.84,99.32,99.36,0
P_patens_transgenic160M,32819,6,57130,1.49,35.42,52.88,90,0.99,34.1,50.94,97
P_patens_transgenic160M_prompt_denovo,0,42954,0,0.0,0.0,0.0,,0.0,0.0,0.0,
P_patens_transgenic160Mprompt,32835,30,70156,67.04,84.54,86.99,0,65.48,84.09,86.78,0
P_patens_transgenic400M,32849,0,58143,3.13,38.6,56.79,78,2.54,36.78,54.41,85
P_patens_transgenic400M_prompt_denovo,0,65602,0,0.0,0.0,0.0,,0.0,0.0,0.0,
P_patens_transgenic400Mprompt,32844,23,70744,66.69,86.98,89.71,0,66.13,85.87,89.0,0
P_trichocarpa_transgenic160M,34630,56,37066,2.51,49.05,67.44,52,2.19,48.18,66.74,54
P_trichocarpa_transgenic160M_prompt_denovo,0,34729,0,0.0,0.0,0.0,,0.0,0.0,0.0,
P_trichocarpa_transgenic160Mprompt,34661,74,43771,87.9,94.31,95.16,0,86.33,93.35,94.63,0
P_trichocarpa_transgenic400M,34609,1,36100,5.26,50.47,68.63,50,4.9,50.28,68.55,50
P_trichocarpa_transgenic400M_prompt_denovo,0,34569,0,0.0,0.0,0.0,,0.0,0.0,0.0,
P_trichocarpa_transgenic400Mprompt,69316,56,81824,90.7,96.97,97.9,0,88.83,95.66,97.23,0
S_bicolor_transgenic160M,32066,2,34437,2.71,47.37,65.59,55,2.34,47.09,64.72,57
S_bicolor_transgenic160M_prompt_denovo,0,31823,0,0.0,0.0,0.0,,0.0,0.0,0.0,
S_bicolor_transgenic160Mprompt,32119,0,35745,94.26,98.14,98.7,0,93.51,97.21,97.67,0
S_bicolor_transgenic400M,31841,1,33631,4.03,35.07,50.95,97,3.71,34.76,50.5,99
