Prompt,CDS source,UTR source,Gene boundary,Loci scored,Added,Matched,Precision vs TAIR10 alt (%),Precision vs AtRTD3 (%),Recall of TAIR10 alt (%)
Reference annotation,TAIR10,TAIR10,TAIR10,"24,202","1,014",185,18.2,18.3,3.6
"Reference annotation, after ORF and splice-site filter",TAIR10,TAIR10,TAIR10,"24,192",245,175,71.4,71.4,3.4
"Reference features, predicted frame",TAIR10,TAIR10,Helixer,"24,198","12,628",275,2.2,3.6,5.3
"Reference features, predicted frame, after ORF and splice-site filter",TAIR10,TAIR10,Helixer,"23,998","1,547",262,16.9,28.4,5.0
"Reference CDS, no UTR",TAIR10,none,TAIR10,"24,201",722,33,4.6,5.1,0.6
"Reference CDS, no UTR, predicted frame",TAIR10,none,Helixer,"24,202","1,040",33,3.2,3.8,0.6
"Reference CDS, predicted UTR",TAIR10,Helixer,"TAIR10, minimally extended","24,199","7,092",221,3.1,4.6,4.2
"Reference CDS, predicted UTR, after ORF and splice-site filter",TAIR10,Helixer,"TAIR10, minimally extended","24,197",983,212,21.6,31.5,4.1
"Predicted CDS, reference UTR",Helixer,TAIR10,CDS+UTR span,"23,954",288,3,1.0,2.1,0.1
"Predicted CDS, reference UTR",ANNEVO,TAIR10,CDS+UTR span,"20,836",223,4,1.8,2.2,0.1
"Predicted CDS reframed, no reference input",Helixer,none,CDS span,"27,029",528,0,0.0,0.6,0.0
Helixer output as supplied,Helixer,Helixer,Helixer,"27,031","2,462",1,0.0,0.3,0.0
"Helixer output as supplied, after ORF and splice-site filter",Helixer,Helixer,Helixer,"26,308",178,1,0.6,4.5,0.0
ANNEVO output as supplied,ANNEVO,none,ANNEVO,"25,172",348,0,0.0,0.3,0.0
BRAKER3 output as supplied,BRAKER3,BRAKER3,BRAKER3,"26,628",145,0,0.0,0.7,0.0
GeMoMa output as supplied,GeMoMa,GeMoMa,GeMoMa,"29,525","25,259",16,0.1,0.5,0.3
EGAPx output as supplied,EGAPx,EGAPx,EGAPx,"23,467","23,141",13,0.1,0.4,0.2
