Species,Tool / mode,Complete (%),Single-copy (n),Duplicated (n),Fragmented (n),Missing (n),Total BUSCOs
Arabidopsis thaliana,ANNEVO v2.2,99.1,418,3,3,1,425
Arabidopsis thaliana,Helixer (land_plant v0.3),99.5,420,3,1,1,425
Arabidopsis thaliana,Tiberius v1.1.7,98.4,416,2,1,6,425
Arabidopsis thaliana,Tiberius v1.1.7 (soft-masked input),98.8,418,2,1,4,425
Arabidopsis thaliana,"TransGenic 160M, de novo",59.3,238,14,146,27,425
Arabidopsis thaliana,"TransGenic 160M, reference-prompted",98.4,375,43,6,1,425
Arabidopsis thaliana,"TransGenic 160M, self-prompted",57.6,0,245,152,28,425
Arabidopsis thaliana,"TransGenic 400M, de novo",74.8,309,9,86,21,425
Arabidopsis thaliana,"TransGenic 400M, reference-prompted",97.9,0,416,8,1,425
Arabidopsis thaliana,"TransGenic 400M, self-prompted",74.6,0,317,87,21,425
Brachypodium distachyon,ANNEVO v2.2,97.9,413,3,6,3,425
Brachypodium distachyon,Helixer (land_plant v0.3),99.1,416,5,4,0,425
Brachypodium distachyon,Tiberius v1.1.7,89.4,374,6,27,18,425
Brachypodium distachyon,Tiberius v1.1.7 (soft-masked input),88.7,370,7,32,16,425
Brachypodium distachyon,"TransGenic 160M, de novo",45.2,176,16,169,64,425
Brachypodium distachyon,"TransGenic 160M, reference-prompted",98.6,381,38,4,2,425
Brachypodium distachyon,"TransGenic 160M, self-prompted",44.5,152,37,171,65,425
Brachypodium distachyon,"TransGenic 400M, de novo",64.5,255,19,111,40,425
Brachypodium distachyon,"TransGenic 400M, reference-prompted",98.6,378,41,5,1,425
Brachypodium distachyon,"TransGenic 400M, self-prompted",63.8,241,30,113,41,425
Brassica rapa,ANNEVO v2.2,66.1,252,29,14,130,425
Brassica rapa,Helixer (land_plant v0.3),98.6,359,60,3,3,425
Brassica rapa,Tiberius v1.1.7,98.4,359,59,4,3,425
Brassica rapa,Tiberius v1.1.7 (soft-masked input),99.3,365,57,1,2,425
Brassica rapa,"TransGenic 160M, de novo",61.4,225,36,139,25,425
Brassica rapa,"TransGenic 160M, reference-prompted",98.8,329,91,3,2,425
Brassica rapa,"TransGenic 160M, self-prompted",59.5,199,54,144,28,425
Brassica rapa,"TransGenic 400M, de novo",78.6,285,49,69,22,425
Brassica rapa,"TransGenic 400M, reference-prompted",98.8,331,89,3,2,425
Brassica rapa,"TransGenic 400M, self-prompted",78.1,268,64,70,23,425
Glycine max,ANNEVO v2.2,99.8,194,230,1,0,425
Glycine max,Helixer (land_plant v0.3),99.3,187,235,3,0,425
Glycine max,Tiberius v1.1.7,99.5,180,243,1,1,425
Glycine max,Tiberius v1.1.7 (soft-masked input),99.8,179,245,1,0,425
Glycine max,"TransGenic 160M, de novo",52.5,141,82,152,50,425
Glycine max,"TransGenic 160M, reference-prompted",98.8,172,248,3,2,425
Glycine max,"TransGenic 160M, self-prompted",52.9,122,103,149,51,425
Glycine max,"TransGenic 400M, de novo",70.4,179,120,93,33,425
Glycine max,"TransGenic 400M, reference-prompted",99.1,174,247,2,2,425
Glycine max,"TransGenic 400M, self-prompted",70.6,177,123,93,32,425
Lactuca sativa,ANNEVO v2.2,98.6,415,4,4,2,425
Lactuca sativa,Helixer (land_plant v0.3),99.1,416,5,3,1,425
Lactuca sativa,Tiberius v1.1.7,96.7,406,5,7,7,425
Lactuca sativa,Tiberius v1.1.7 (soft-masked input),96.2,404,5,8,8,425
Lactuca sativa,"TransGenic 160M, de novo",54.1,218,12,136,59,425
Lactuca sativa,"TransGenic 160M, reference-prompted",96.5,354,56,9,6,425
Lactuca sativa,"TransGenic 160M, self-prompted",52.2,189,33,144,59,425
Lactuca sativa,"TransGenic 400M, de novo",62.6,252,14,113,46,425
Lactuca sativa,"TransGenic 400M, reference-prompted",96.5,345,65,9,6,425
Oryza sativa,ANNEVO v2.2,97.6,404,11,10,0,425
Oryza sativa,Helixer (land_plant v0.3),98.8,410,10,4,1,425
Oryza sativa,Tiberius v1.1.7,92.5,384,9,27,5,425
Oryza sativa,Tiberius v1.1.7 (soft-masked input),93.2,388,8,25,4,425
Oryza sativa,"TransGenic 160M, de novo",52.2,205,17,137,66,425
Oryza sativa,"TransGenic 160M, reference-prompted",90.6,345,40,28,12,425
Oryza sativa,"TransGenic 160M, self-prompted",51.5,176,43,139,67,425
Oryza sativa,"TransGenic 400M, de novo",65.4,264,14,100,47,425
Oryza sativa,"TransGenic 400M, reference-prompted",91.8,348,42,23,12,425
Oryza sativa,"TransGenic 400M, self-prompted",65.2,242,35,100,48,425
Physcomitrium patens,ANNEVO v2.2,96.5,361,49,6,9,425
Physcomitrium patens,Helixer (land_plant v0.3),94.6,353,49,11,12,425
Physcomitrium patens,Tiberius v1.1.7,78.6,297,37,29,62,425
Physcomitrium patens,Tiberius v1.1.7 (soft-masked input),84.0,314,43,31,37,425
Physcomitrium patens,"TransGenic 160M, de novo",52.9,19,206,133,67,425
Physcomitrium patens,"TransGenic 160M, reference-prompted",97.2,17,396,3,9,425
Physcomitrium patens,"TransGenic 160M, self-prompted",52.5,34,189,136,66,425
Physcomitrium patens,"TransGenic 400M, de novo",62.4,11,254,101,59,425
Physcomitrium patens,"TransGenic 400M, reference-prompted",97.2,26,387,3,9,425
Physcomitrium patens,"TransGenic 400M, self-prompted",62.4,0,265,105,55,425
Populus trichocarpa,ANNEVO v2.2,98.8,348,72,4,1,425
Populus trichocarpa,Helixer (land_plant v0.3),99.5,354,69,2,0,425
Populus trichocarpa,Tiberius v1.1.7,99.3,353,69,2,1,425
Populus trichocarpa,Tiberius v1.1.7 (soft-masked input),98.8,351,69,3,2,425
Populus trichocarpa,"TransGenic 160M, de novo",52.9,196,29,157,43,425
