Species,Prediction set,Transcripts (n),Checked (n),Frame failure (n),No ATG start (n),No terminal stop (n),Internal stop (n),Fully consistent (n),Fully consistent (%),Duplicate transcripts (n),Mean isoforms per gene
Arabidopsis thaliana,Reference annotation,35176,35176,32,6,8,43,35128,99.86,1,1.293
Arabidopsis thaliana,"TransGenic 160M, de novo",27524,27524,15955,10574,19800,21338,2027,7.36,164,1.012
Arabidopsis thaliana,"TransGenic 160M, reference-prompted",30068,30068,485,221,224,550,29337,97.57,870,1.105
Arabidopsis thaliana,"TransGenic 160M, self-prompted",91592,91592,54509,35958,66889,69660,5922,6.47,3965,1.251
Arabidopsis thaliana,"TransGenic 400M, de novo",27422,27422,13478,2696,8081,15838,6814,24.85,62,1.008
Arabidopsis thaliana,"TransGenic 400M, reference-prompted",59426,59426,1616,210,540,1566,57484,96.73,622,1.092
Arabidopsis thaliana,"TransGenic 400M, reference-prompted (deduplicated)",29713,29713,808,105,270,783,28742,96.73,311,1.092
Arabidopsis thaliana,"TransGenic 400M, self-prompted",93063,93063,46575,10257,28404,52953,22068,23.71,2145,1.141
Brachypodium distachyon,Reference annotation,52972,52972,1,1039,465,0,51518,97.26,5,1.544
Brachypodium distachyon,"TransGenic 160M, de novo",35965,35965,20704,16121,26557,28516,2836,7.89,922,1.049
Brachypodium distachyon,"TransGenic 160M, reference-prompted",39315,39315,769,1151,1044,809,36920,93.91,2620,1.145
Brachypodium distachyon,"TransGenic 160M, self-prompted",47460,47460,28042,20701,35515,36778,3374,7.11,5460,1.386
Brachypodium distachyon,"TransGenic 400M, de novo",34922,34922,17466,4640,12187,22149,7581,21.71,248,1.02
Brachypodium distachyon,"TransGenic 400M, reference-prompted",37866,37866,502,1018,599,554,35898,94.8,1021,1.103
Brachypodium distachyon,"TransGenic 400M, self-prompted",40731,40731,20787,5990,14434,24946,8604,21.12,1529,1.19
Brassica rapa,Reference annotation,57411,57411,0,15,16,0,57388,99.96,18665,1.482
