species_id,gene_split,assigned_genes,ever_labelled_genes,pct
Athaliana,test,11860,1551,13.1
Athaliana,train,13660,12649,92.6
Athaliana,valid,1896,484,25.5
Bdistachyon,test,8645,1305,15.1
Bdistachyon,train,22670,20427,90.1
Bdistachyon,valid,2995,700,23.4
Gmax,test,15205,2581,17.0
Gmax,train,29182,28494,97.6
Gmax,valid,4000,1086,27.1
Osativa,test,10252,1851,18.1
Osativa,train,28012,27662,98.8
Osativa,valid,3925,1004,25.6
Ppatens,test,4982,688,13.8
Ppatens,train,24669,21104,85.5
Ppatens,valid,3275,731,22.3
Ptrichocarpa,test,10864,1749,16.1
Ptrichocarpa,train,20787,20184,97.1
Ptrichocarpa,valid,3048,802,26.3
Sbicolor,test,8663,1398,16.1
Sbicolor,train,20697,19744,95.4
Sbicolor,valid,2800,713,25.5
Sitalica,test,9186,1777,19.3
Sitalica,train,22382,20955,93.6
Sitalica,valid,3016,881,29.2
Vvinifera,test,12130,2105,17.4
Vvinifera,train,31643,25373,80.2
Vvinifera,valid,4198,915,21.8
