geneModel	change	counterfactual_fate	current_fate
Vvinifera:chr00:1016467-1077907	removed	retained	grid_absent
Vvinifera:chr00:1017158-1078598	added	grid_absent	retained
Vvinifera:chr00:1046195-1076915	changed	retained	retained
Vvinifera:chr00:1077907-1139347	removed	retained	grid_absent
Vvinifera:chr00:1078318-1207342	removed	retained	grid_absent
Vvinifera:chr00:1078598-1140038	added	grid_absent	retained
Vvinifera:chr00:1114546-1243570	added	grid_absent	retained
Vvinifera:chr00:1114546-1243570-rc	added	grid_absent	retained
Vvinifera:chr00:1139347-1200787	removed	retained	grid_absent
Vvinifera:chr00:1140038-1201478	added	grid_absent	retained
Vvinifera:chr00:1199795-1230515	changed	retained	retained
Vvinifera:chr00:1200787-1262227	removed	retained	grid_absent
Vvinifera:chr00:1200787-1262227-rc	removed	retained	grid_absent
Vvinifera:chr00:1201478-1262918	added	grid_absent	retained
Vvinifera:chr00:1201478-1262918-rc	added	grid_absent	retained
Vvinifera:chr00:1207342-1336366	removed	retained	grid_absent
Vvinifera:chr00:1207342-1336366-rc	removed	retained	grid_absent
Vvinifera:chr00:1243570-1372594	added	grid_absent	retained
Vvinifera:chr00:1262227-1323667	removed	retained	grid_absent
Vvinifera:chr00:1262918-1324358	added	grid_absent	retained
Vvinifera:chr00:1323667-1385107	removed	retained	grid_absent
Vvinifera:chr00:1324358-1385798	added	grid_absent	retained
Vvinifera:chr00:1336366-1465390	removed	retained	grid_absent
Vvinifera:chr00:1336366-1465390-rc	removed	retained	grid_absent
Vvinifera:chr00:1372594-1501618	added	grid_absent	retained
Vvinifera:chr00:1372594-1501618-rc	added	grid_absent	retained
Vvinifera:chr00:1385107-1446547	removed	retained	grid_absent
Vvinifera:chr00:1385107-1446547-rc	removed	retained	grid_absent
Vvinifera:chr00:1385798-1447238	added	grid_absent	retained
Vvinifera:chr00:1385798-1447238-rc	added	grid_absent	retained
Vvinifera:chr00:1446547-1507987	removed	retained	grid_absent
Vvinifera:chr00:1447238-1508678	added	grid_absent	retained
Vvinifera:chr00:1465390-1594414	removed	retained	grid_absent
Vvinifera:chr00:1501618-1630642	added	grid_absent	retained
Vvinifera:chr00:1507987-1569427	removed	retained	grid_absent
Vvinifera:chr00:1508678-1570118	added	grid_absent	retained
Vvinifera:chr00:156307-217747	removed	retained	grid_absent
Vvinifera:chr00:1569427-1630867	removed	retained	grid_absent
Vvinifera:chr00:156998-218438	added	grid_absent	retained
Vvinifera:chr00:1570118-1631558	added	grid_absent	retained
Vvinifera:chr00:1594414-1723438	removed	retained	grid_absent
Vvinifera:chr00:1630642-1759666	added	grid_absent	retained
Vvinifera:chr00:1630867-1692307	removed	retained	grid_absent
Vvinifera:chr00:1631558-1692998	added	grid_absent	retained
Vvinifera:chr00:1692307-1753747	removed	retained	grid_absent
Vvinifera:chr00:1692998-1754438	added	grid_absent	retained
Vvinifera:chr00:1722035-1752755	changed	retained	retained
Vvinifera:chr00:1723438-1852462	removed	retained	grid_absent
Vvinifera:chr00:175150-304174	removed	retained	grid_absent
Vvinifera:chr00:175150-304174-rc	removed	retained	grid_absent
Vvinifera:chr00:1753747-1815187	removed	retained	grid_absent
Vvinifera:chr00:1754438-1815878	added	grid_absent	retained
Vvinifera:chr00:1759666-1888690	added	grid_absent	retained
Vvinifera:chr00:1815187-1876627	removed	retained	grid_absent
Vvinifera:chr00:1815878-1877318	added	grid_absent	retained
Vvinifera:chr00:1852462-1981486	removed	retained	grid_absent
