gene	reason
ATMG00060.TAIR10	clean_stop_codon_missing
ATMG00285.TAIR10	clean_stop_codon_missing
ATMG00513.TAIR10	clean_stop_codon_missing
ATMG00516.TAIR10	clean_start_codon_missing
ATMG00520.TAIR10	clean_start_codon_missing
ATMG00570.TAIR10	clean_start_codon_missing
ATMG00665.TAIR10	clean_stop_codon_missing
ATMG00960.TAIR10	clean_start_codon_missing
ATMG01120.TAIR10	clean_stop_codon_missing
ATMG01275.TAIR10	clean_stop_codon_missing
ATMG01320.TAIR10	clean_stop_codon_missing
ATCG00065.TAIR10	clean_stop_codon_missing
ATCG00820.TAIR10	clean_start_codon_missing
ATCG00905.TAIR10	clean_start_codon_missing
ATCG01000.TAIR10	clean_start_codon_missing
ATCG01050.TAIR10	clean_start_codon_missing
ATCG01130.TAIR10	clean_start_codon_missing
ATCG01230.TAIR10	clean_start_codon_missing
AT1G03495.TAIR10	clean_not_multiple_of_3
AT1G07290.TAIR10	clean_not_multiple_of_3
AT1G07320.TAIR10	clean_stop_codon_missing
AT1G17000.TAIR10	clean_stop_codon_missing
AT1G23450.TAIR10	clean_stop_codon_missing
AT1G24880.TAIR10	clean_not_multiple_of_3
AT1G27565.TAIR10	clean_start_codon_missing
AT1G30230.TAIR10	clean_stop_codon_missing
AT1G35625.TAIR10	clean_start_codon_missing
AT1G36380.TAIR10	clean_stop_codon_missing
AT1G52415.TAIR10	clean_stop_codon_missing
AT1G54360.TAIR10	clean_not_multiple_of_3
AT1G60560.TAIR10	clean_stop_codon_missing
AT1G60930.TAIR10	clean_not_multiple_of_3
AT1G76820.TAIR10	clean_not_multiple_of_3
AT1G79740.TAIR10	clean_start_codon_missing
AT1G79920.TAIR10	clean_not_multiple_of_3
AT2G06210.TAIR10	clean_not_multiple_of_3
AT2G18110.TAIR10	clean_stop_codon_missing
AT2G19940.TAIR10	clean_not_multiple_of_3
AT2G22090.TAIR10	clean_stop_codon_missing
AT2G39050.TAIR10	clean_stop_codon_missing
AT2G43280.TAIR10	clean_start_codon_missing
AT2G47390.TAIR10	clean_stop_codon_missing
AT3G06060.TAIR10	clean_stop_codon_missing
AT3G07500.TAIR10	clean_start_codon_missing
AT3G08943.TAIR10	clean_not_multiple_of_3
AT3G08947.TAIR10	clean_not_multiple_of_3
AT3G09922.TAIR10	clean_start_codon_missing
AT3G12915.TAIR10	clean_stop_codon_missing
AT3G12940.TAIR10	clean_stop_codon_missing
AT3G13445.TAIR10	clean_stop_codon_missing
AT3G17660.TAIR10	clean_stop_codon_missing
AT3G18150.TAIR10	clean_stop_codon_missing
AT3G29255.TAIR10	clean_start_codon_missing
AT3G52070.TAIR10	clean_stop_codon_missing
AT3G54680.TAIR10	clean_stop_codon_missing
AT3G55270.TAIR10	clean_not_multiple_of_3
AT3G57180.TAIR10	clean_not_multiple_of_3
AT3G63540.TAIR10	clean_start_codon_missing
AT4G13730.TAIR10	clean_stop_codon_missing
AT4G14272.TAIR10	clean_stop_codon_missing
AT4G15130.TAIR10	clean_not_multiple_of_3
AT4G15200.TAIR10	clean_not_multiple_of_3
AT4G15780.TAIR10	clean_not_multiple_of_3
AT4G15950.TAIR10	clean_not_multiple_of_3
AT4G16110.TAIR10	clean_not_multiple_of_3
AT4G16144.TAIR10	clean_not_multiple_of_3
AT4G16150.TAIR10	clean_not_multiple_of_3
AT4G16770.TAIR10	clean_not_multiple_of_3
AT4G17100.TAIR10	clean_not_multiple_of_3
AT4G17730.TAIR10	clean_stop_codon_missing
AT4G18960.TAIR10	clean_start_codon_missing
AT4G21326.TAIR10	clean_start_codon_missing
AT4G21865.TAIR10	clean_start_codon_missing
AT4G21910.TAIR10	clean_stop_codon_missing
AT4G26965.TAIR10	clean_start_codon_missing
AT4G35335.TAIR10	clean_not_multiple_of_3
AT4G39620.TAIR10	clean_stop_codon_missing
AT5G01520.TAIR10	clean_stop_codon_missing
AT5G05270.TAIR10	clean_start_codon_missing
AT5G06440.TAIR10	clean_start_codon_missing
AT5G11100.TAIR10	clean_stop_codon_missing
AT5G12860.TAIR10	clean_stop_codon_missing
AT5G18710.TAIR10	clean_stop_codon_missing
AT5G20165.TAIR10	clean_stop_codon_missing
AT5G22794.TAIR10	clean_stop_codon_missing
AT5G23480.TAIR10	clean_not_multiple_of_3
AT5G26800.TAIR10	clean_not_multiple_of_3
AT5G67640.TAIR10	never_flushed_last_gene_in_file
