gene	chrom	strand	gene_start	gene_end	gene_length	region_start	region_end	region_length	preprocess_status	n_cds	n_utr5	n_utr3	n_transcripts	n_tokens	n_unk_tokens	over_token_cap	over_vocab_limit
Zm00001d027230.RefGen_V4	1	+	44289	49837	5549	43990	50134	6144	retained	7	1	3	1	142	0	0	0
Zm00001d027231.RefGen_V4	1	-	50877	55716	4840	50224	56368	6144	retained	15	6	10	8	444	0	0	0
Zm00001d027232.RefGen_V4	1	-	92299	95134	2836	90644	96788	6144	retained	3	3	1	1	94	0	0	0
Zm00001d027233.RefGen_V4	1	-	111655	118312	6658	108839	121127	12288	retained	14	2	0	1	211	0	0	0
Zm00001d027234.RefGen_V4	1	-	118683	119739	1057	116138	122282	6144	retained	5	1	1	1	94	0	0	0
Zm00001d027235.RefGen_V4	1	+	122120	122614	495	119294	125438	6144	retained	2	0	0	1	29	0	0	0
Zm00001d027236.RefGen_V4	1	-	138378	139043	666	135638	141782	6144	retained	2	0	1	1	42	0	0	0
Zm00001d027239.RefGen_V4	1	-	196942	199159	2218	194978	201122	6144	retained	6	6	4	4	214	0	0	0
Zm00001d027240.RefGen_V4	1	-	199345	205715	6371	196385	208673	12288	retained	11	23	19	16	777	0	0	0
Zm00001d027242.RefGen_V4	1	-	209979	215403	5425	209618	215762	6144	retained	19	30	12	13	903	0	0	0
Zm00001d027244.RefGen_V4	1	-	217904	219526	1623	215642	221786	6144	retained	2	1	0	1	42	0	0	0
Zm00001d027245.RefGen_V4	1	+	225862	243688	17827	225558	243990	18432	retained	11	0	0	1	143	0	0	0
Zm00001d027248.RefGen_V4	1	-	328329	332172	3844	327178	333322	6144	retained	10	0	4	3	197	0	0	0
Zm00001d027249.RefGen_V4	1	-	336177	337092	916	333562	339706	6144	retained	2	0	0	1	29	0	0	0
Zm00001d027250.RefGen_V4	1	+	337772	338047	276	334837	340981	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027253.RefGen_V4	1	+	420213	420863	651	417465	423609	6144	retained	3	1	1	1	68	0	0	0
Zm00001d027254.RefGen_V4	1	+	426764	432130	5367	426374	432518	6144	retained	1	5	1	1	86	0	0	0
Zm00001d027256.RefGen_V4	1	+	559525	560974	1450	557177	563321	6144	retained	2	0	0	1	29	0	0	0
Zm00001d027257.RefGen_V4	1	-	560956	568038	7083	558352	570640	12288	retained	11	9	15	7	489	0	0	0
Zm00001d027258.RefGen_V4	1	+	689056	689704	649	686307	692451	6144	retained	2	0	0	1	29	0	0	0
Zm00001d027259.RefGen_V4	1	-	689483	716826	27344	687794	718514	30720	retained	68	75	70	42	4072	93	1	1
Zm00001d027263.RefGen_V4	1	-	866251	867030	780	863568	869712	6144	retained	2	0	0	1	29	0	0	0
Zm00001d027265.RefGen_V4	1	+	1012255	1023640	11386	1011803	1024091	12288	retained	22	6	16	4	631	0	0	0
Zm00001d027266.RefGen_V4	1	+	1027058	1030126	3069	1025519	1031663	6144	retained	4	1	1	1	81	0	0	0
Zm00001d027267.RefGen_V4	1	+	1031786	1036456	4671	1031048	1037192	6144	retained	13	1	5	2	258	0	0	0
Zm00001d027268.RefGen_V4	1	-	1034777	1037365	2589	1032998	1039142	6144	retained	2	1	1	1	55	0	0	0
Zm00001d027269.RefGen_V4	1	+	1044482	1044694	213	1041515	1047659	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027271.RefGen_V4	1	-	1067813	1073269	5457	1067468	1073612	6144	retained	22	17	42	18	1069	0	0	0
Zm00001d027273.RefGen_V4	1	+	1198058	1206947	8890	1196358	1208646	12288	retained	4	3	0	1	99	0	0	0
Zm00001d027275.RefGen_V4	1	+	1213077	1216127	3051	1211529	1217673	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027276.RefGen_V4	1	-	1226063	1236227	10165	1225000	1237288	12288	retained	4	4	1	1	121	0	0	0
Zm00001d027277.RefGen_V4	1	-	1231545	1236335	4791	1230867	1237011	6144	retained	4	1	1	1	80	0	0	0
Zm00001d027278.RefGen_V4	1	+	1492439	1533158	40720	1491294	1534302	43008	retained	106	92	51	68	6270	98	1	1
Zm00001d027279.RefGen_V4	1	+	1547137	1548341	1205	1544666	1550810	6144	retained	4	0	1	1	68	0	0	0
Zm00001d027280.RefGen_V4	1	-	1580261	1580781	521	1577448	1583592	6144	retained	2	1	1	1	55	0	0	0
Zm00001d027281.RefGen_V4	1	-	1610483	1611686	1204	1608012	1614156	6144	retained	2	1	1	1	55	0	0	0
Zm00001d027283.RefGen_V4	1	+	1715993	1716949	957	1713398	1719542	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027285.RefGen_V4	1	+	1816514	1818676	2163	1814522	1820666	6144	retained	3	0	0	1	42	0	0	0
Zm00001d027286.RefGen_V4	1	+	1834232	1835383	1152	1831735	1837879	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027287.RefGen_V4	1	-	1835495	1836895	1401	1833122	1839266	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027288.RefGen_V4	1	-	1841722	1843589	1868	1839583	1845727	6144	retained	2	1	1	1	55	0	0	0
Zm00001d027289.RefGen_V4	1	+	1921679	1936497	14819	1919871	1938303	18432	retained	2	0	0	1	31	0	0	0
Zm00001d027290.RefGen_V4	1	+	1938725	1939294	570	1935937	1942081	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027291.RefGen_V4	1	-	1942161	1942595	435	1939305	1945449	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027292.RefGen_V4	1	+	2019934	2021379	1446	2017584	2023728	6144	retained	1	0	0	1	16	0	0	0
Zm00001d027293.RefGen_V4	1	-	2026825	2034154	7330	2024345	2036633	12288	retained	14	11	8	12	546	0	0	0
Zm00001d027295.RefGen_V4	1	+	2104761	2106624	1864	2102620	2108764	6144	retained	6	2	2	3	137	0	0	0
