gene	category	row_splits
AT1G01010.TAIR10	train	train
AT1G01020.TAIR10	train	train
AT1G01030.TAIR10	train	train
AT1G01040.TAIR10	train	train
AT1G01050.TAIR10	train	train
AT1G01060.TAIR10	train	train
AT1G01070.TAIR10	train	train
AT1G01073.TAIR10	train	train
AT1G01080.TAIR10	train	test,train
AT1G01090.TAIR10	train	train
AT1G01100.TAIR10	train	test,train
AT1G01110.TAIR10	train	train,validation
AT1G01115.TAIR10	train	train
AT1G01120.TAIR10	test	test
AT1G01130.TAIR10	test	test
AT1G01140.TAIR10	train	test,train
AT1G01150.TAIR10	test	test
AT1G01160.TAIR10	validation	test,validation
AT1G01170.TAIR10	train	train
AT1G01180.TAIR10	train	train
AT1G01190.TAIR10	train	train
AT1G01200.TAIR10	train	train
AT1G01210.TAIR10	test	test
AT1G01220.TAIR10	train	train
AT1G01225.TAIR10	train	train
AT1G01230.TAIR10	train	train
AT1G01240.TAIR10	train	test,train
AT1G01250.TAIR10	train	train
AT1G01260.TAIR10	train	train
AT1G01280.TAIR10	train	train
AT1G01290.TAIR10	train	test,train
AT1G01300.TAIR10	train	train
AT1G01305.TAIR10	train	train
AT1G01310.TAIR10	test	test
AT1G01320.TAIR10	train	train
AT1G01340.TAIR10	train	train
AT1G01350.TAIR10	test	test
AT1G01355.TAIR10	train	train
AT1G01360.TAIR10	train	train
AT1G01370.TAIR10	train	train,validation
AT1G01380.TAIR10	train	train
AT1G01390.TAIR10	validation	validation
AT1G01400.TAIR10	test	test
AT1G01410.TAIR10	train	train
AT1G01420.TAIR10	train	train
AT1G01430.TAIR10	train	train
AT1G01440.TAIR10	train	train
AT1G01450.TAIR10	train	train
AT1G01453.TAIR10	train	train
AT1G01460.TAIR10	train	train
AT1G01470.TAIR10	test	test
AT1G01471.TAIR10	train	train
AT1G01480.TAIR10	train	train,validation
AT1G01490.TAIR10	train	train
AT1G01500.TAIR10	test	test
AT1G01510.TAIR10	train	train
AT1G01520.TAIR10	train	train
AT1G01530.TAIR10	validation	validation
AT1G01540.TAIR10	train	train
AT1G01550.TAIR10	train	train
AT1G01560.TAIR10	train	train
AT1G01570.TAIR10	test	test
AT1G01580.TAIR10	test	test
AT1G01590.TAIR10	train	train
AT1G01600.TAIR10	train	train
AT1G01610.TAIR10	train	train
AT1G01620.TAIR10	train	train
AT1G01630.TAIR10	train	train
AT1G01640.TAIR10	train	train
AT1G01650.TAIR10	train	test,train
AT1G01660.TAIR10	train	train
AT1G01670.TAIR10	train	train
AT1G01680.TAIR10	test	test
AT1G01690.TAIR10	train	train
AT1G01695.TAIR10	validation	validation
AT1G01700.TAIR10	train	train
AT1G01710.TAIR10	train	train
AT1G01720.TAIR10	train	train
AT1G01725.TAIR10	train	train
AT1G01730.TAIR10	train	train
AT1G01740.TAIR10	train	train,validation
AT1G01750.TAIR10	train	train
AT1G01760.TAIR10	test	test
AT1G01770.TAIR10	train	train
AT1G01780.TAIR10	train	train
AT1G01790.TAIR10	train	train
AT1G01800.TAIR10	train	test,train
AT1G01810.TAIR10	validation	validation
AT1G01820.TAIR10	train	train
AT1G01830.TAIR10	train	test,train
AT1G01840.TAIR10	validation	validation
AT1G01860.TAIR10	test	test
AT1G01880.TAIR10	train	train
AT1G01900.TAIR10	train	train
AT1G01910.TAIR10	train	train,validation
AT1G01920.TAIR10	train	test,train
AT1G01930.TAIR10	train	train
AT1G01940.TAIR10	test	test
AT1G01950.TAIR10	train	train
AT1G01960.TAIR10	train	train
AT1G01970.TAIR10	test	test
AT1G01980.TAIR10	train	train
AT1G01990.TAIR10	validation	validation
AT1G02000.TAIR10	train	train
AT1G02010.TAIR10	train	train
AT1G02020.TAIR10	train	train
AT1G02030.TAIR10	validation	validation
AT1G02040.TAIR10	train	train
AT1G02050.TAIR10	validation	validation
AT1G02060.TAIR10	train	train
AT1G02065.TAIR10	train	train
AT1G02070.TAIR10	train	train
