locus	panel	chrom	strand	kb	n_tair	n_pred	n_art	reproduced	shared	novel	unsupported	max_introns
AT3G59650	A	?	?	0.7	2	2	2	2	2	0	0	2
AT1G08650	A	?	?	1.0	2	2	2	2	2	0	0	1
AT1G32370	A	?	?	1.1	4	2	7	2	2	0	0	4
AT3G45050	A	?	?	1.1	2	2	4	2	2	0	0	3
AT1G08570	A	?	?	1.3	3	2	7	2	2	0	0	4
AT2G18030	A	?	?	1.3	2	2	3	2	2	0	0	3
AT5G24620	A	?	?	1.4	2	2	2	2	2	0	0	2
AT3G62190	A	?	?	1.5	2	2	5	2	2	0	0	5
AT1G22700	A	?	?	1.6	3	2	7	2	2	0	0	4
AT2G37760	A	?	?	1.7	3	2	12	2	2	0	0	6
AT5G66930	A	?	?	1.7	3	2	4	2	2	0	0	6
AT1G43770	A	?	?	1.7	2	2	3	2	2	0	0	5
AT5G07060	A	?	?	1.7	2	2	2	2	2	0	0	4
AT2G29340	A	?	?	1.9	3	2	5	2	2	0	0	5
AT4G35940	A	?	?	1.9	2	2	10	2	2	0	0	2
AT3G06770	A	?	?	1.9	2	2	9	2	2	0	0	5
AT4G30000	A	?	?	2.0	2	2	2	2	2	0	0	2
AT4G13870	A	?	?	2.0	2	2	5	2	2	0	0	5
AT1G03040	A	?	?	2.2	2	2	4	2	2	0	0	5
AT4G03820	A	?	?	2.3	2	2	3	2	2	0	0	4
AT3G04590	A	?	?	2.4	2	2	7	2	2	0	0	5
AT4G10840	A	?	?	2.4	2	2	3	2	2	0	0	3
AT4G32660	A	?	?	2.7	2	2	13	2	2	0	0	11
AT4G04570	A	?	?	2.7	2	2	8	2	2	0	0	6
AT1G15020	A	?	?	2.9	2	2	12	2	2	0	0	11
AT4G16740	A	?	?	3.0	2	2	7	2	2	0	0	6
AT1G73370	A	?	?	3.8	2	2	2	2	2	0	0	11
AT2G33340	A	?	?	4.4	2	2	21	2	2	0	0	17
AT1G05890	A	?	?	4.5	2	2	12	2	2	0	0	15
AT1G44575	B	?	?	1.5	4	4	4	4	2	0	0	3
AT5G01230	B	?	?	2.7	4	3	3	3	2	0	0	10
AT5G62890	B	?	?	3.5	4	3	10	3	2	0	0	12
AT4G27900	C	?	?	2.0	2	3	2	2	1	1	0	3
AT3G56730	C	?	?	0.9	2	2	4	1	1	1	0	2
AT5G50090	C	?	?	0.9	2	2	3	1	1	1	0	2
AT1G55260	C	?	?	1.5	2	2	8	1	1	1	0	2
AT3G13740	C	?	?	1.6	2	2	9	1	1	1	0	6
AT2G37450	C	?	?	2.0	2	2	5	1	1	1	0	5
AT3G29185	C	?	?	2.1	2	2	9	1	1	1	0	6
AT1G78940	C	?	?	3.1	2	2	2	1	1	1	0	9
AT4G22540	C	?	?	5.1	2	2	14	1	1	1	0	9
AT4G28640	C	?	?	1.8	6	3	6	2	0	1	0	3
