locus	category	novel_junctions	introns	atrtd_match	atrtd_sharing_chain	atrtd_carrying_novel_junction	atrtd_transcripts	tair_chains	predicted_transcript
AT4G30510	junction	2	10	AT4G30510.2	2	7	9	2	A_thaliana_g039703.t2
AT4G12610	junction	2	8	AT4G12610.2	1	2	4	2	A_thaliana_g035701.t2
AT2G37450	junction	2	5	AT2G37450.7	1	1	11	2	A_thaliana_g020365.t2
AT1G52500	junction	1	9	AT1G52500.10	2	2	16	2	A_thaliana_g008561.t2
AT4G22540	junction	1	9	AT4G22540.12	5	5	36	2	A_thaliana_g037965.t2
AT3G61390	junction	1	6	AT3G61390.2	1	1	3	2	A_thaliana_g033055.t2
AT1G62180	junction	1	3	AT1G62180.7	1	1	10	2	A_thaliana_g010245.t2
AT2G19690	junction	1	3	AT2G19690.3	1	1	4	2	A_thaliana_g016569.t2
AT5G45940	junction	1	3	AT5G45940.3	1	1	4	2	A_thaliana_g049717.t2
AT1G66410	junction	1	2	AT1G66410.5	1	1	7	2	A_thaliana_g011153.t2
AT1G80940	junction	1	2	AT1G80940.5	1	1	8	2	A_thaliana_g014147.t2
AT2G20830	junction	1	2	AT2G20830.8	1	1	15	3	A_thaliana_g016831.t2
AT3G17611	junction	1	2	AT3G17611.1	1	1	3	2	A_thaliana_g026271.t2
AT4G19110	combination	0	13	AT4G19110.1	4	0	54	3	A_thaliana_g037243.t2
AT1G19650	combination	0	12	AT1G19650.13	1	0	14	2	A_thaliana_g003957.t2
AT5G22220	combination	0	12	AT5G22220.6	1	0	9	2	A_thaliana_g045951.t2
AT2G47830	combination	0	10	AT2G47830.18	1	0	20	2	A_thaliana_g022577.t2
AT5G54130	combination	0	9	AT5G54130.10	1	0	18	3	A_thaliana_g051501.t2
AT1G78940	combination	0	8	AT1G78940.1	1	0	2	2	A_thaliana_g013747.t2
AT4G16990	combination	0	8	AT4G16990.42	2	0	81	5	A_thaliana_g036761.t2
AT5G66640	combination	0	8	AT5G66640.17	1	0	22	2	A_thaliana_g054191.t2
AT4G19160	combination	0	7	AT4G19160.2	1	0	48	3	A_thaliana_g037255.t2
AT1G61660	combination	0	6	AT1G61660.27	2	0	28	4	A_thaliana_g010143.t3
AT5G44200	combination	0	6	AT5G44200.5	1	0	8	1	A_thaliana_g049323.t2
AT1G67700	combination	0	5	AT1G67700.2	1	0	14	3	A_thaliana_g011421.t2
AT2G45380	combination	0	5	AT2G45380.20	4	0	32	2	A_thaliana_g022063.t2
AT3G13740	combination	0	5	AT3G13740.10	3	0	14	2	A_thaliana_g025409.t2
AT3G29185	combination	0	5	AT3G29185.1	1	0	20	2	A_thaliana_g028841.t2
AT4G07990	combination	0	5	AT4G07990.9	1	0	9	2	A_thaliana_g034757.t2
AT1G43890	combination	0	4	AT1G43890.7	2	0	12	1	A_thaliana_g007283.t2
AT3G04910	combination	0	4	AT3G04910.26	2	0	32	3	A_thaliana_g023525.t2
AT4G01450	combination	0	4	AT4G01450.12	1	0	14	3	A_thaliana_g033857.t2
AT5G19910	combination	0	4	AT5G19910.5	1	0	8	2	A_thaliana_g045619.t2
AT5G50020	combination	0	4	AT5G50020.6	1	0	11	2	A_thaliana_g050609.t2
AT2G25460	combination	0	3	AT2G25460.1	1	0	4	1	A_thaliana_g017791.t2
AT4G18375	combination	0	3	AT4G18375.9	1	0	9	2	A_thaliana_g037067.t2
AT4G32590	combination	0	3	AT4G32590.5	1	0	20	4	A_thaliana_g040161.t2
AT5G27830	combination	0	3	AT5G27830.6	1	0	11	5	A_thaliana_g047089.t2
AT5G54080	combination	0	3	AT5G54080.27	2	0	90	1	A_thaliana_g051491.t143
AT2G07340	combination	0	2	AT2G07340.5	1	0	6	2	A_thaliana_g015147.t2
AT2G21580	combination	0	2	AT2G21580.6	1	0	6	2	A_thaliana_g016987.t2
AT2G32580	combination	0	2	AT2G32580.1	1	0	7	2	A_thaliana_g019297.t2
AT3G17090	combination	0	2	AT3G17090.1	2	0	15	2	A_thaliana_g026157.t2
AT4G08230	combination	0	2	AT4G08230.2	1	0	6	2	A_thaliana_g034789.t2
AT4G16380	combination	0	2	AT4G16380.7	1	0	13	2	A_thaliana_g036613.t2
