locus	panel	chrom	strand	kb	n_tair	n_pred	n_art	reproduced	shared	novel	unsupported	max_introns
AT3G50550	A	?	?	0.6	2	2	2	2	2	0	0	2
AT3G44716	A	?	?	0.8	2	2	2	2	2	0	0	2
AT5G64080	A	?	?	1.2	2	2	4	2	2	0	0	2
AT1G49130	A	?	?	1.2	2	2	2	2	2	0	0	2
AT5G46360	A	?	?	1.3	2	2	2	2	2	0	0	2
AT3G55770	A	?	?	1.3	3	2	12	2	2	0	0	5
AT1G44575	A	?	?	1.4	2	2	4	2	2	0	0	3
AT5G66360	A	?	?	1.4	2	2	3	2	2	0	0	2
AT4G10720	A	?	?	1.5	2	2	2	2	2	0	0	2
AT1G23240	A	?	?	1.6	3	2	2	2	2	0	0	5
AT1G63260	A	?	?	2.0	3	2	11	2	2	0	0	10
AT1G55900	A	?	?	2.3	2	2	9	2	2	0	0	9
AT4G10840	A	?	?	2.4	2	2	3	2	2	0	0	3
AT3G04590	A	?	?	2.4	2	2	7	2	2	0	0	5
AT3G28070	A	?	?	2.9	3	2	7	2	2	0	0	6
AT5G58700	A	?	?	2.9	2	2	4	2	2	0	0	8
AT3G10420	A	?	?	3.0	2	2	12	2	2	0	0	8
AT1G20620	A	?	?	3.1	4	2	15	2	2	0	0	6
AT1G58807	A	?	?	3.2	2	2	4	2	2	0	0	3
AT2G29980	A	?	?	3.2	2	2	9	2	2	0	0	7
AT4G38810	A	?	?	3.3	2	2	7	2	2	0	0	4
AT5G55100	A	?	?	3.4	2	2	8	2	2	0	0	4
AT1G22660	A	?	?	4.1	2	2	7	2	2	0	0	14
AT5G01270	A	?	?	4.2	2	2	8	2	2	0	0	14
AT3G15980	A	?	?	6.6	4	2	11	2	2	0	0	24
AT1G65450	B	?	?	3.1	4	4	3	4	2	0	0	1
AT1G61250	B	?	?	2.7	4	3	6	3	2	0	0	11
AT1G19650	C	?	?	3.1	2	2	10	1	1	1	0	13
