locus	n_cds_segments	atrtd3_transcripts	origins	any_isoseq	all_isoseq
AT1G01070	6	AT1G01070.1	Isoseq	True	True
AT1G02470	7	AT1G02470.4	Isoseq	True	True
AT1G02630	2	AT1G02630.2	Isoseq	True	True
AT1G03040	6	AT1G03040.5	Isoseq	True	True
AT1G04270	4	AT1G04270.7	Isoseq	True	True
AT1G05890	15	AT1G05890.15,AT1G05890.21,AT1G05890.9	Isoseq,Isoseq,Isoseq	True	True
AT1G07640	2	AT1G07640.4	Isoseq	True	True
AT1G08570	5	AT1G08570.13	atRTD2	False	False
AT1G09710	6	AT1G09710.2,AT1G09710.6,AT1G09710.7	Isoseq,Isoseq,Isoseq	True	True
AT1G10340	3	AT1G10340.1,AT1G10340.2	Isoseq,Isoseq	True	True
AT1G10588	2	AT1G10588.2	atRTD2	False	False
AT1G10670	11	AT1G10670.10,AT1G10670.11,AT1G10670.15,AT1G10670.19,AT1G10670.8,AT1G10670.9	Isoseq,atRTD2,atRTD2,Isoseq,Isoseq,Isoseq	True	False
AT1G11570	2	AT1G11570.1	Isoseq	True	True
AT1G12080	2	AT1G12080.2	Isoseq	True	True
AT1G14150	2	AT1G14150.2	Isoseq	True	True
AT1G14520	8	AT1G14520.13,AT1G14520.14	Isoseq,Isoseq	True	True
AT1G15215	9	AT1G15215.12,AT1G15215.7	Isoseq,Isoseq	True	True
AT1G15320	4	AT1G15320.1	atRTD2	False	False
AT1G16410	3	AT1G16410.3	Isoseq	True	True
AT1G17710	4	AT1G17710.1	Isoseq	True	True
AT1G19330	6	AT1G19330.4	Isoseq	True	True
AT1G20130	5	AT1G20130.3	Isoseq	True	True
AT1G20620	7	AT1G20620.4	Isoseq	True	True
AT1G21880	5	AT1G21880.1	Isoseq	True	True
AT1G22370	2	AT1G22370.7,AT1G22370.8	Isoseq,Isoseq	True	True
AT1G22700	5	AT1G22700.5	Isoseq	True	True
AT1G23240	6	AT1G23240.1,AT1G23240.3	Isoseq,Isoseq	True	True
AT1G28290	2	AT1G28290.2	Isoseq	True	True
AT1G29750	24	AT1G29750.6	Isoseq	True	True
AT1G30040	3	AT1G30040.1,AT1G30040.2,AT1G30040.3,AT1G30040.4	Isoseq,Isoseq,Isoseq,Isoseq	True	True
AT1G30970	7	AT1G30970.1	Araport	False	False
AT1G44575	4	AT1G44575.3,AT1G44575.4,AT1G44575.5	atRTD2,atRTD2,Isoseq	True	False
AT1G47540	2	AT1G47540.1	Isoseq	True	True
AT1G50430	13	AT1G50430.26	Isoseq	True	True
AT1G51710	17	AT1G51710.9	Isoseq	True	True
AT1G52510	11	AT1G52510.13,AT1G52510.18,AT1G52510.29	Isoseq,Isoseq,Isoseq	True	True
AT1G54020	4	AT1G54020.6	Isoseq	True	True
AT1G54630	4	AT1G54630.6	Isoseq	True	True
AT1G61250	12	AT1G61250.2,AT1G61250.6	Isoseq,Isoseq	True	True
AT1G61340	3	AT1G61340.1	Isoseq	True	True
AT1G61660	6	AT1G61660.10,AT1G61660.8	Isoseq,Isoseq	True	True
AT1G62180	4	AT1G62180.7	Isoseq	True	True
AT1G63970	3	AT1G63970.6	Isoseq	True	True
AT1G66410	3	AT1G66410.5	Isoseq	True	True
AT1G67800	11	AT1G67800.10,AT1G67800.11,AT1G67800.17,AT1G67800.19,AT1G67800.20,AT1G67800.23,AT1G67800.5,AT1G67800.6,AT1G67800.7,AT1G67800.8,AT1G67800.9	Isoseq,Isoseq,Isoseq,Isoseq,Isoseq,Isoseq,Isoseq,Isoseq,Isoseq,Isoseq,Isoseq	True	True
AT1G67950	6	AT1G67950.3	Isoseq	True	True
AT1G67980	5	AT1G67980.1	Isoseq	True	True
AT1G69400	9	AT1G69400.3	atRTD2	False	False
AT1G71940	4	AT1G71940.4	Isoseq	True	True
AT1G73370	12	AT1G73370.1,AT1G73370.3	atRTD2,Isoseq	True	False
AT1G77765	2	AT1G77765.2	atRTD2	False	False
AT1G78260	6	AT1G78260.1,AT1G78260.3,AT1G78260.4	Isoseq,Isoseq,Isoseq	True	True
AT1G78940	9	AT1G78940.1	atRTD2	False	False
AT2G01260	6	AT2G01260.2,AT2G01260.6	Isoseq,Isoseq	True	True
AT2G05510	2	AT2G05510.5	Isoseq	True	True
AT2G15390	2	AT2G15390.3	Isoseq	True	True
AT2G15400	3	AT2G15400.3	Isoseq	True	True
AT2G15490	2	AT2G15490.1	Araport	False	False
AT2G17220	6	AT2G17220.21,AT2G17220.22	Isoseq,Isoseq	True	True
AT2G17970	6	AT2G17970.6	Isoseq	True	True
AT2G19620	10	AT2G19620.1,AT2G19620.7	Isoseq,Isoseq	True	True
AT2G20790	8	AT2G20790.10	Isoseq	True	True
AT2G21160	8	AT2G21160.7	Isoseq	True	True
AT2G21330	6	AT2G21330.36	Isoseq	True	True
AT2G22250	9	AT2G22250.22	atRTD2	False	False
AT2G22540	9	AT2G22540.1,AT2G22540.11,AT2G22540.20,AT2G22540.30,AT2G22540.35,AT2G22540.9	Isoseq,Isoseq,Isoseq,Isoseq,Isoseq,Isoseq	True	True
AT2G23130	2	AT2G23130.1	Isoseq	True	True
AT2G24190	5	AT2G24190.3	Isoseq	True	True
AT2G27250	3	AT2G27250.1	atRTD2	False	False
AT2G27450	9	AT2G27450.4	Isoseq	True	True
AT2G27500	3	AT2G27500.1,AT2G27500.3	Isoseq,Isoseq	True	True
AT2G28810	2	AT2G28810.2	Isoseq	True	True
AT2G32160	18	AT2G32160.2	Isoseq	True	True
AT2G33740	6	AT2G33740.2	Isoseq	True	True
AT2G33830	3	AT2G33830.4	Isoseq	True	True
AT2G34540	4	AT2G34540.1	Isoseq	True	True
AT2G35390	7	AT2G35390.19	Isoseq	True	True
AT2G35710	4	AT2G35710.1	Isoseq	True	True
AT2G37450	6	AT2G37450.7	Isoseq	True	True
AT2G37760	7	AT2G37760.1,AT2G37760.16,AT2G37760.23	Isoseq,Isoseq,Isoseq	True	True
AT2G39000	3	AT2G39000.6	Isoseq	True	True
AT2G40020	5	AT2G40020.2	Isoseq	True	True
AT2G40110	5	AT2G40110.3	Isoseq	True	True
AT2G41110	2	AT2G41110.2	Isoseq	True	True
AT2G43230	7	AT2G43230.2	Isoseq	True	True
AT2G43920	8	AT2G43920.3	Isoseq	True	True
AT2G45630	2	AT2G45630.1	atRTD2	False	False
AT2G46170	4	AT2G46170.2,AT2G46170.4	Isoseq,Isoseq	True	True
AT2G47890	4	AT2G47890.2	Isoseq	True	True
AT3G01060	6	AT3G01060.4	Isoseq	True	True
AT3G01500	10	AT3G01500.7,AT3G01500.8	Isoseq,Isoseq	True	True
AT3G05030	14	AT3G05030.10,AT3G05030.5,AT3G05030.8	Isoseq,Isoseq,Isoseq	True	True
AT3G06770	6	AT3G06770.10,AT3G06770.15	Isoseq,Isoseq	True	True
AT3G07360	2	AT3G07360.23	Isoseq	True	True
AT3G07740	13	AT3G07740.10	Isoseq	True	True
AT3G07930	2	AT3G07930.7	atRTD2	False	False
AT3G11820	2	AT3G11820.4	Isoseq	True	True
AT3G12380	11	AT3G12380.5	Isoseq	True	True
AT3G14350	16	AT3G14350.10,AT3G14350.2,AT3G14350.9	Isoseq,Isoseq,Isoseq	True	True
AT3G14740	2	AT3G14740.4	Isoseq	True	True
AT3G15340	7	AT3G15340.1,AT3G15340.2,AT3G15340.5	Isoseq,Isoseq,Isoseq	True	True
AT3G15390	11	AT3G15390.10,AT3G15390.5	Isoseq,Isoseq	True	True
AT3G15450	3	AT3G15450.2	Isoseq	True	True
AT3G17510	12	AT3G17510.1,AT3G17510.3,AT3G17510.5,AT3G17510.6	Isoseq,Isoseq,Isoseq,Isoseq	True	True
AT3G19400	4	AT3G19400.4	Isoseq	True	True
AT3G22200	19	AT3G22200.11,AT3G22200.20	Isoseq,Isoseq	True	True
AT3G24080	1	AT3G24080.6	Isoseq	True	True
AT3G28715	10	AT3G28715.2	Isoseq	True	True
AT3G46010	2	AT3G46010.1,AT3G46010.10,AT3G46010.11,AT3G46010.2,AT3G46010.5,AT3G46010.6,AT3G46010.7,AT3G46010.9	atRTD2,Isoseq,Isoseq,Isoseq,Isoseq,Isoseq,Isoseq,Isoseq	True	False
AT3G48090	4	AT3G48090.2,AT3G48090.3	Isoseq,Isoseq	True	True
AT3G48860	17	AT3G48860.14,AT3G48860.6	Isoseq,Isoseq	True	True
AT3G49590	3	AT3G49590.11,AT3G49590.8	Isoseq,Isoseq	True	True
AT3G50550	3	AT3G50550.1,AT3G50550.4,AT3G50550.5	Isoseq,atRTD2,Isoseq	True	False
AT3G52920	4	AT3G52920.2	Isoseq	True	True
AT3G54440	17	AT3G54440.6	Isoseq	True	True
AT3G54510	10	AT3G54510.2	Isoseq	True	True
AT3G57020	3	AT3G57020.1,AT3G57020.5	Isoseq,Isoseq	True	True
AT3G57050	13	AT3G57050.5	Isoseq	True	True
AT3G59650	3	AT3G59650.2	Isoseq	True	True
AT3G61060	3	AT3G61060.7	Isoseq	True	True
AT3G61850	3	AT3G61850.1,AT3G61850.2	Isoseq,Isoseq	True	True
AT3G62020	2	AT3G62020.2	Isoseq	True	True
AT3G62190	6	AT3G62190.8	Isoseq	True	True
AT3G62260	4	AT3G62260.4	Isoseq	True	True
AT3G63500	2	AT3G63500.1,AT3G63500.2,AT3G63500.5,AT3G63500.6	Isoseq,Isoseq,Isoseq,Isoseq	True	True
AT4G04830	3	AT4G04830.6	Isoseq	True	True
AT4G05320	1	AT4G05320.25,AT4G05320.30,AT4G05320.34,AT4G05320.36	Isoseq,Isoseq,atRTD2,Isoseq	True	False
AT4G08170	10	AT4G08170.12,AT4G08170.17,AT4G08170.18,AT4G08170.5,AT4G08170.8	Isoseq,Isoseq,Isoseq,Isoseq,Isoseq	True	True
AT4G10720	2	AT4G10720.1,AT4G10720.3	Isoseq,Isoseq	True	True
AT4G10840	4	AT4G10840.3	Isoseq	True	True
AT4G12580	2	AT4G12580.1	Isoseq	True	True
AT4G13310	4	AT4G13310.1,AT4G13310.2	Isoseq,Isoseq	True	True
AT4G13870	6	AT4G13870.3	Isoseq	True	True
AT4G16740	7	AT4G16740.6	Isoseq	True	True
