locus	category	additions	additions_matching_TAIR10_alt
AT1G01010	train	0	0
AT1G01020	train	0	0
AT1G01030	train	0	0
AT1G01040	train	0	0
AT1G01050	train	0	0
AT1G01060	train	0	0
AT1G01070	train	1	1
AT1G01073	train	0	0
AT1G01080	train	1	0
AT1G01090	train	0	0
AT1G01100	train	0	0
AT1G01110	train	0	0
AT1G01115	train	0	0
AT1G01120	test	0	0
AT1G01130	test	0	0
AT1G01140	train	0	0
AT1G01150	test	0	0
AT1G01160	validation	0	0
AT1G01170	train	0	0
AT1G01180	train	0	0
AT1G01190	train	0	0
AT1G01200	train	0	0
AT1G01210	test	0	0
AT1G01220	train	0	0
AT1G01225	train	0	0
AT1G01230	train	0	0
AT1G01240	train	0	0
AT1G01250	train	0	0
AT1G01260	train	0	0
AT1G01280	train	0	0
AT1G01290	train	0	0
AT1G01300	train	0	0
AT1G01305	train	0	0
AT1G01310	test	0	0
AT1G01320	train	0	0
AT1G01340	train	1	0
AT1G01350	test	0	0
AT1G01355	train	0	0
AT1G01360	train	0	0
AT1G01370	train	0	0
AT1G01380	train	0	0
AT1G01390	validation	0	0
AT1G01400	test	0	0
AT1G01410	train	0	0
AT1G01420	train	0	0
AT1G01430	train	0	0
AT1G01440	train	0	0
AT1G01450	train	0	0
AT1G01453	train	0	0
AT1G01460	train	0	0
AT1G01470	test	0	0
AT1G01471	train	0	0
AT1G01480	train	0	0
AT1G01490	train	0	0
AT1G01500	test	0	0
AT1G01510	train	0	0
AT1G01520	train	0	0
AT1G01530	validation	0	0
AT1G01540	train	0	0
AT1G01550	train	0	0
AT1G01560	train	0	0
AT1G01570	test	0	0
AT1G01580	test	0	0
AT1G01590	train	0	0
AT1G01600	train	0	0
AT1G01610	train	0	0
AT1G01620	train	0	0
AT1G01630	train	0	0
AT1G01640	train	0	0
AT1G01650	train	0	0
AT1G01660	train	0	0
AT1G01670	train	0	0
AT1G01680	test	0	0
AT1G01690	train	0	0
AT1G01695	validation	0	0
AT1G01700	train	0	0
AT1G01710	train	0	0
AT1G01720	train	0	0
AT1G01725	train	0	0
AT1G01730	train	0	0
AT1G01740	train	0	0
AT1G01750	train	0	0
AT1G01760	test	0	0
AT1G01770	train	0	0
AT1G01780	train	0	0
AT1G01790	train	0	0
AT1G01800	train	0	0
AT1G01810	validation	0	0
AT1G01820	train	0	0
AT1G01830	train	0	0
AT1G01840	validation	0	0
AT1G01860	test	0	0
AT1G01880	train	0	0
AT1G01900	train	0	0
AT1G01910	train	0	0
AT1G01920	train	0	0
AT1G01930	train	0	0
AT1G01940	test	0	0
AT1G01950	train	0	0
AT1G01960	train	0	0
AT1G01970	test	0	0
AT1G01980	train	0	0
AT1G01990	validation	0	0
AT1G02000	train	0	0
AT1G02010	train	0	0
AT1G02020	train	0	0
AT1G02030	validation	0	0
AT1G02040	train	0	0
AT1G02050	validation	0	0
AT1G02060	train	0	0
AT1G02065	train	0	0
AT1G02070	train	0	0
AT1G02074	test	0	0
AT1G02080	train	0	0
AT1G02090	train	0	0
AT1G02100	train	0	0
AT1G02110	train	0	0
AT1G02120	validation	0	0
AT1G02130	train	0	0
AT1G02140	train	0	0
AT1G02145	train	0	0
AT1G02150	validation	0	0
AT1G02160	train	0	0
AT1G02170	train	0	0
AT1G02180	train	0	0
AT1G02190	train	0	0
AT1G02205	train	0	0
AT1G02210	test	0	0
AT1G02220	train	0	0
AT1G02230	train	0	0
AT1G02250	validation	0	0
AT1G02260	test	0	0
AT1G02270	validation	0	0
AT1G02280	train	0	0
AT1G02290	train	0	0
AT1G02300	train	0	0
AT1G02305	train	0	0
AT1G02310	validation	0	0
AT1G02320	test	0	0
AT1G02330	train	0	0
AT1G02335	train	0	0
AT1G02340	validation	0	0
AT1G02350	train	0	0
AT1G02360	train	0	0
AT1G02370	train	0	0
AT1G02380	train	0	0
AT1G02390	train	0	0
AT1G02391	train	0	0
AT1G02400	train	0	0
AT1G02405	test	0	0
AT1G02410	train	0	0
AT1G02420	train	0	0
AT1G02430	train	0	0
AT1G02440	train	0	0
AT1G02450	train	0	0
AT1G02460	train	0	0
AT1G02470	train	1	1
AT1G02475	train	0	0
AT1G02490	test	0	0
AT1G02500	train	0	0
AT1G02510	train	0	0
AT1G02520	train	0	0
AT1G02530	train	0	0
AT1G02540	validation	0	0
AT1G02550	train	0	0
AT1G02560	train	0	0
AT1G02570	train	0	0
AT1G02575	train	0	0
AT1G02580	train	0	0
AT1G02590	validation	0	0
AT1G02610	train	0	0
AT1G02620	train	0	0
AT1G02630	validation	1	1
AT1G02640	train	0	0
AT1G02650	train	0	0
AT1G02660	test	0	0
AT1G02670	train	0	0
AT1G02680	train	0	0
AT1G02690	train	0	0
AT1G02700	train	0	0
AT1G02710	test	0	0
AT1G02720	train	0	0
AT1G02730	train	0	0
AT1G02740	train	0	0
AT1G02750	train	0	0
AT1G02770	train	0	0
