gene	chrom	strand	gene_start	gene_end	gene_length	region_start	region_end	region_length	preprocess_status	n_cds	n_utr5	n_utr3	n_transcripts	n_tokens	n_unk_tokens	over_token_cap	over_vocab_limit
Solyc00G000001.ITAG5.0	0	-	153300	159897	6598	150454	162742	12288	retained	2	1	1	1	55	0	0	0
Solyc00G000002.ITAG5.0	0	+	238088	238737	650	235340	241484	6144	retained	2	1	0	1	42	0	0	0
Solyc00G000003.ITAG5.0	0	-	240718	242241	1524	238407	244551	6144	retained	1	0	0	1	16	0	0	0
Solyc00G000004.ITAG5.0	0	-	242297	243537	1241	239844	245988	6144	retained	2	0	0	1	29	0	0	0
Solyc00G000005.ITAG5.0	0	+	242523	243590	1068	239984	246128	6144	retained	2	0	1	1	42	0	0	0
Solyc00G000006.ITAG5.0	0	-	245339	246083	745	242638	248782	6144	retained	2	0	0	1	29	0	0	0
Solyc00G000007.ITAG5.0	0	-	246320	247030	711	243602	249746	6144	retained	1	0	0	1	16	0	0	0
Solyc00G000008.ITAG5.0	0	-	247256	254357	7102	244662	256950	12288	retained	5	0	0	1	68	0	0	0
Solyc00G000009.ITAG5.0	0	+	247394	255523	8130	245314	257602	12288	retained	2	1	1	1	56	0	0	0
Solyc00G000010.ITAG5.0	0	-	254384	257596	3213	252917	259061	6144	retained	1	0	0	1	16	0	0	0
Solyc00G000011.ITAG5.0	0	+	277444	279292	1849	275295	281439	6144	retained	2	0	1	1	42	0	0	0
Solyc00G000012.ITAG5.0	0	+	282245	293220	10976	281588	293876	12288	retained	13	0	1	4	200	0	0	0
Solyc00G000013.ITAG5.0	0	-	282457	283667	1211	279989	286133	6144	retained	3	0	0	1	42	0	0	0
Solyc00G000014.ITAG5.0	0	-	283895	284357	463	281053	287197	6144	retained	2	0	0	1	29	0	0	0
Solyc00G000015.ITAG5.0	0	-	302806	311871	9066	301194	313482	12288	retained	9	0	0	1	124	0	0	0
Solyc00G000016.ITAG5.0	0	-	312148	327419	15272	310567	328999	18432	retained	7	0	0	1	98	0	0	0
Solyc00G000017.ITAG5.0	0	-	331978	332534	557	329183	335327	6144	retained	2	0	0	1	29	0	0	0
Solyc00G000018.ITAG5.0	0	-	349982	355189	5208	349513	355657	6144	retained	1	0	0	1	15	0	0	0
Solyc00G000019.ITAG5.0	0	+	356145	357635	1491	353817	359961	6144	retained	2	0	0	1	29	0	0	0
Solyc00G000020.ITAG5.0	0	+	358085	359142	1058	355541	361685	6144	retained	2	0	0	1	29	0	0	0
Solyc00G000021.ITAG5.0	0	+	360852	364425	3574	359566	365710	6144	retained	6	0	0	1	81	0	0	0
Solyc00G000022.ITAG5.0	0	-	364047	365923	1877	361912	368056	6144	retained	2	0	0	1	29	0	0	0
Solyc00G000023.ITAG5.0	0	-	365947	369333	3387	364567	370711	6144	retained	3	0	0	1	42	0	0	0
Solyc00G000024.ITAG5.0	0	+	369778	371813	2036	367723	373867	6144	retained	3	0	0	1	42	0	0	0
Solyc00G000025.ITAG5.0	0	+	376980	377231	252	374033	380177	6144	retained	1	0	0	1	16	0	0	0
Solyc00G000026.ITAG5.0	0	-	617866	618342	477	615031	621175	6144	retained	1	0	0	1	16	0	0	0
Solyc00G000027.ITAG5.0	0	-	618448	619302	855	615802	621946	6144	retained	1	0	0	1	16	0	0	0
Solyc00G000028.ITAG5.0	0	-	621769	623663	1895	619643	625787	6144	retained	2	0	0	1	29	0	0	0
Solyc00G000029.ITAG5.0	0	+	624457	625230	774	621771	627915	6144	retained	1	0	0	1	16	0	0	0
Solyc00G000030.ITAG5.0	0	+	625275	634360	9086	623673	635961	12288	retained	6	0	0	1	83	0	0	0
Solyc00G000031.ITAG5.0	0	-	627532	632573	5042	626980	633124	6144	retained	3	0	0	1	40	0	0	0
Solyc00G000032.ITAG5.0	0	-	634046	634488	443	631194	637338	6144	retained	2	0	0	1	29	0	0	0
Solyc00G000033.ITAG5.0	0	+	637326	637526	201	634353	640497	6144	retained	1	0	0	1	16	0	0	0
Solyc00G000034.ITAG5.0	0	-	637686	641744	4059	636642	642786	6144	retained	7	1	1	3	124	0	0	0
Solyc00G000035.ITAG5.0	0	+	637717	638022	306	634797	640941	6144	retained	1	0	0	1	16	0	0	0
Solyc00G000036.ITAG5.0	0	+	640544	641752	1209	638075	644219	6144	retained	1	1	2	1	55	0	0	0
Solyc00G000037.ITAG5.0	0	+	676402	716946	40545	675169	718177	43008	retained	15	0	0	3	226	0	0	0
Solyc00G000038.ITAG5.0	0	+	717248	717972	725	714537	720681	6144	retained	2	0	0	1	29	0	0	0
Solyc00G000039.ITAG5.0	0	-	719830	720771	942	717228	723372	6144	retained	1	0	0	1	16	0	0	0
Solyc00G000040.ITAG5.0	0	+	723685	726125	2441	721832	727976	6144	retained	2	0	0	1	29	0	0	0
Solyc00G000041.ITAG5.0	0	-	724985	726164	1180	722502	728646	6144	retained	1	0	1	1	29	0	0	0
Solyc00G000042.ITAG5.0	0	-	730307	730950	644	727556	733700	6144	retained	2	0	0	1	29	0	0	0
Solyc00G000043.ITAG5.0	0	-	867581	867769	189	864602	870746	6144	retained	1	0	0	1	16	0	0	0
Solyc00G000044.ITAG5.0	0	+	880513	880780	268	877574	883718	6144	retained	2	0	0	1	29	0	0	0
Solyc00G000045.ITAG5.0	0	+	883417	884175	759	880723	886867	6144	retained	1	0	0	1	16	0	0	0
Solyc00G000046.ITAG5.0	0	+	888626	889000	375	885740	891884	6144	retained	1	0	0	1	16	0	0	0
Solyc00G000047.ITAG5.0	0	-	900800	903445	2646	899050	905194	6144	retained	6	0	0	1	81	0	0	0
Solyc00G000048.ITAG5.0	0	-	903617	908710	5094	903091	909235	6144	retained	8	0	0	1	106	0	0	0
Solyc00G000049.ITAG5.0	0	+	905361	905876	516	902546	908690	6144	retained	1	0	0	1	16	0	0	0
Solyc00G000050.ITAG5.0	0	-	908724	909786	1063	906182	912326	6144	retained	2	0	0	1	29	0	0	0
