species_id	gene_id	gene_name	flag	swissprot_accession	entry_name	pe	caution_records	difference_vs_reference	closest_reference_protein	curated_length
Athaliana	AT1G20490.TAIR10	AT1G20490	swissprot_caution_erroneous_gene_model_prediction;swissprot_caution_frameshift	Q3E6Y4	4CLL3_ARATH	2	Sequence=AAF79612.1; Type=Erroneous gene model prediction; Note=The predicted gene has been split into 3 genes: At1g20480, At1g20490 and At1g20500.; Evidence={ECO:0000305} | Sequence=AAF79612.1; Type=Frameshift; Evidence={ECO:0000305} | Sequence=AEE29978.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=AEE29978.1; Type=Frameshift; Evidence={ECO:0000305} | Sequence=BX815999; Type=Miscellaneous discrepancy; Note=Sequencing errors.; Evidence={ECO:0000305}	internal_difference_prefix430_suffix0_len552vs447	AT1G20490.1.TAIR10	552
Athaliana	AT3G16170.TAIR10	AT3G16170	swissprot_caution_erroneous_gene_model_prediction;swissprot_caution_erroneous_initiation	Q8H151	AAE13_ARATH	1	Sequence=AAM61199.1; Type=Erroneous initiation; Note=Truncated N-terminus.; Evidence={ECO:0000305} | Sequence=AAN31910.1; Type=Erroneous initiation; Note=Truncated N-terminus.; Evidence={ECO:0000305} | Sequence=BAB02683.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	reference_shorter_by_64aa	AT3G16170.1.TAIR10	608
Athaliana	AT4G33150.TAIR10	AT4G33150	swissprot_caution_erroneous_initiation	Q9SMZ4	AASS_ARATH	1	Sequence=AAK64010.1; Type=Erroneous initiation; Evidence={ECO:0000305} | Sequence=AAK97099.1; Type=Miscellaneous discrepancy; Note=Chimeric cDNA. Its C-terminal part is derived from gene At1G61240 whose function is unknown. Originally thought to be an alternative splicing form of At4g33150.; Evidence={ECO:0000305} | Sequence=AAM16268.1; Type=Erroneous initiation; Evidence={ECO:0000305}	reference_shorter_by_582aa	AT4G33150.3.TAIR10	1064
Athaliana	AT3G28520.TAIR10	AT3G28520	swissprot_caution_erroneous_initiation	Q9LH83	AATP6_ARATH	3	Sequence=AEE77455.1; Type=Erroneous initiation; Note=Truncated N-terminus.; Evidence={ECO:0000305}	reference_shorter_by_14aa	AT3G28520.1.TAIR10	492
Athaliana	AT5G61740.TAIR10	AT5G61740	swissprot_caution_erroneous_gene_model_prediction	Q9FLT4	AB10A_ARATH	1	Sequence=BAB10074.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix24_suffix519_len909vs848	AT5G61740.1.TAIR10	909
Athaliana	AT2G07680.TAIR10	AT2G07680	swissprot_caution_erroneous_gene_model_prediction	Q9SKX0	AB13C_ARATH	2	Sequence=AAD37023.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=AEC06127.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix192_suffix1212_len1410vs1404	AT2G07680.1.TAIR10	1410
Athaliana	AT3G28415.TAIR10	AT3G28415	swissprot_caution_erroneous_gene_model_prediction;swissprot_caution_erroneous_initiation	Q9LSJ2	AB22B_ARATH	3	Sequence=AEE77442.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305} | Sequence=BAB02858.1; Type=Erroneous initiation; Note=Extended N-terminus.; Evidence={ECO:0000305}	internal_difference_prefix84_suffix1137_len1229vs1221	AT3G28415.1.TAIR10	1229
Athaliana	AT3G30842.TAIR10	AT3G30842	swissprot_caution_erroneous_gene_model_prediction	Q7PC85	AB38G_ARATH	2	Sequence=BAB02609.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix717_suffix469_len1418vs1406	AT3G30842.1.TAIR10	1418
Athaliana	AT4G15215.TAIR10	AT4G15215	swissprot_caution_erroneous_gene_model_prediction	Q7PC83	AB41G_ARATH	2	Sequence=AEE83570.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix320_suffix1070_len1397vs1390	AT4G15215.1.TAIR10	1397
Athaliana	AT4G15233.TAIR10	AT4G15233	swissprot_caution_erroneous_gene_model_prediction	Q7PC82	AB42G_ARATH	2	Sequence=AEE83573.1; Type=Erroneous gene model prediction; Evidence={ECO:0000305}	internal_difference_prefix1304_suffix0_len1392vs1382	AT4G15233.2.TAIR10	1392
